aera,2020/4/5,2020/4/6,2020/4/7,2020/4/8,2020/4/9,2020/4/10,2020/4/11,2020/4/12,2020/4/13,2020/4/14,2020/4/15,2020/4/16,2020/4/17,2020/4/18
Japan,3843,4224,4639,5084,5559,6059,6580,7119,7672,8233,8800,9368,9934,10494
Iran,57794,59694,61451,63073,64570,65950,67223,68396,69476,70470,71386,72229,73004,73718
Itay,128641,132074,135507,138544,141255,143701,145903,147883,149661,151256,152687,153969,155118,156146
America,332886,354480,373351,389439,402855,413830,422657,429656,435136,439381,442641,445124,447004,448420
German,100781,104477,107751,110629,113145,115334,117232,118875,120294,121519,122578,123493,124284,124970
Switzerland,21443,22280,23029,23701,24307,24854,25351,25802,26214,26590,26934,27250,27541,27808
Sweden,7000,7595,8224,8887,9581,10302,11047,11812,12593,13384,14180,14977,15768,16548
Spain,131968,137209,141930,146157,149923,153265,156221,158830,161131,163159,164946,166522,167912,169141
U.K.,46430,50183,53657,56795,59568,61970,64012,65720,67128,68273,69196,69931,70512,70969
Netherland,17348,17874,18306,18654,18930,19146,19314,19443,19542,19618,19677,19721,19755,19781
Belgium,19737,20921,21971,22887,23672,24335,24888,25345,25718,26021,26265,26460,26616,26740
Greece,1801,1923,2040,2145,2247,2348,2449,2551,2656,2764,2877,2996,3121,3255
Norway,5774,5981,6175,6356,6528,6691,6848,7000,7148,7292,7435,7577,7718,7860
Austria,12102,12392,12673,12941,13208,13397,13592,13769,13932,14080,14216,14340,14453,14557
Austrialia,6179,6578,6977,7385,7719,8039,8357,8680,9012,9359,9723,10106,10511,10938
Brazil,11826,13595,15570,17646,19727,21731,23599,25296,26803,28119,29251,30213,31024,31701
Denmark,4535,4809,5088,5372,5660,5951,6245,6541,6838,7135,7433,7731,8027,8323
Canada,15751,17407,19075,20726,22334,23874,25328,26682,27927,29060,30079,30990,31799,32512
Luxembourg,2857,2971,3071,3157,3242,3286,3342,3396,3451,3506,3563,3622,3683,3746
Russia,5605,6523,7476,8512,9560,10608,11635,12625,13562,14438,15248,15989,16662,17271
Qatar,1433,1545,1660,1778,1898,2018,2138,2258,2378,2496,2614,2731,2847,2961
France,95544,100031,104241,108141,111720,114981,117937,120606,123010,125170,127108,128845,130401,131793
Ireland,5120,5671,6255,6871,7517,8189,8884,9594,10315,11040,11761,12473,13168,13841
Portugal,1433,1545,1660,1778,1898,2018,2138,2258,2378,2496,2614,2731,2847,2961
Turkey,25996,27918,29708,31377,32931,34379,35728,36984,38155,39245,40261,41207,42089,42910
Israel,8572,9291,10003,10702,11383,12042,12678,13286,13867,14419,14941,15433,15896,16331
Estonia,1131,1235,1351,1479,1619,1772,1939,2119,2314,2524,2748,2988,3244,3515
Czech,4741,5019,5305,5599,5902,6214,6534,6864,7202,7549,7905,8269,8641,9021
Slovenia,1027,1078,1130,1184,1239,1295,1353,1412,1472,1533,1595,1659,1724,1790
Finland,2000,2155,2302,2453,2604,2789,2976,3172,3380,3598,3827,4067,4318,4580
Bahrain,713,738,764,790,816,843,870,897,924,952,979,1007,1036,1064
