aera,2020/4/5,2020/4/6,2020/4/7,2020/4/8,2020/4/9,2020/4/10,2020/4/11,2020/4/12,2020/4/13,2020/4/14,2020/4/15,2020/4/16,2020/4/17,2020/4/18
Japan,3351,3601,3871,4163,4475,4808,5163,5538,5934,6351,6787,7243,7717,8208
Iran,55480,57592,59535,61321,62964,64476,65865,67143,68318,69397,70389,71301,72139,72908
Itay,123333,126920,130507,133203,135905,138383,140654,142732,144634,146374,147965,149420,150750,151966
America,301279,323314,342609,359053,372754,383956,392977,400154,405812,410241,413692,416372,418448,420056
German,95455,99294,102695,105680,108277,110520,112445,114090,115489,116678,117686,118540,119263,119877
Switzerland,20298,20966,21592,22179,22729,23245,23728,24181,24606,25004,25378,25728,26056,26363
Sweden,6661,7232,7840,8483,9161,9868,10603,11362,12139,12931,13733,14538,15342,16138
Spain,124888,129886,134247,138021,141262,144033,146393,148399,150102,151549,152779,153827,154722,155487
U.K.,42767,46746,50521,54013,57165,59947,62353,64395,66101,67505,68646,69562,70292,70868
Netherland,16504,17092,17581,17981,18302,18558,18760,18919,19043,19140,19216,19274,19320,19356
Belgium,18257,19615,20833,21908,22841,23639,24311,24871,25333,25710,26015,26262,26459,26616
Greece,1758,1885,1997,2083,2166,2245,2325,2406,2492,2582,2679,2784,2896,3018
Norway,5746,6104,6448,6783,7111,7435,7759,8084,8413,8746,9087,9435,9792,10159
Austria,11836,12181,12483,12770,13058,13263,13472,13664,13840,14001,14148,14283,14406,14518
Austrialia,5961,6382,6804,7238,7606,7965,8325,8693,9076,9478,9902,10350,10825,11326
Denmark,4150,4324,4476,4614,4742,4865,4985,5106,5229,5355,5487,5625,5770,5922
Canada,14111,15712,17351,19002,20637,22231,23761,25207,26556,27799,28932,29955,30871,31685
Luxembourg,2824,2896,2984,3016,3049,3089,3130,3174,3220,3270,3322,3377,3435,3496
Russia,4955,5815,6717,7728,8765,9818,10864,11884,12860,13781,14639,15428,16150,16805
Qatar,1138,1203,1269,1336,1403,1471,1538,1606,1674,1741,1808,1875,1942,2008
France,69940,74352,78394,82096,85487,88593,91438,94045,96432,98619,100622,102457,104138,105677
Ireland,4622,4979,5343,5713,6085,6460,6836,7211,7583,7952,8317,8675,9027,9371
Portugal,1138,1203,1269,1336,1403,1471,1538,1606,1674,1741,1808,1875,1942,2008
Turkey,22887,24737,26476,28112,29651,31098,32459,33739,34943,36075,37140,38142,39084,39970
Israel,8218,8978,9705,10402,11068,11706,12316,12900,13459,13994,14506,14996,15465,15913
Estonia,1049,1152,1270,1404,1554,1721,1906,2108,2329,2570,2829,3108,3407,3724
Czech,4474,4891,5342,5824,6337,6878,7446,8036,8647,9273,9912,10560,11212,11866
Slovenia,986,1039,1095,1151,1210,1270,1332,1395,1460,1526,1594,1663,1734,1807
Finland,1754,1874,2011,2152,2293,2461,2631,2810,3000,3199,3409,3629,3861,4102
Bahrain,696,722,748,774,800,827,854,881,909,937,966,994,1023,1053
