aera,2020/4/17,2020/4/18,2020/4/19,2020/4/20,2020/4/21,2020/4/22,2020/4/23,2020/4/24,2020/4/25,2020/4/26,2020/4/27,2020/4/28,2020/4/29,2020/4/30
Japan,9238,9768,10303,10838,11373,11905,12431,12950,13460,13960,14449,14927,15392,15845
Iran,77734,78722,79710,80839,81782,82665,83493,84269,84996,85677,86315,86913,87473,87998
Itay,167969,170431,172893,175082,177059,178852,180473,181934,183246,184423,185476,186416,187254,187999
America,654618,669846,683199,694845,704960,713712,721262,727759,733339,738123,742218,745721,748713,751268
German,137241,138499,139614,140608,141496,142289,142998,143633,144203,144716,145177,145593,145969,146310
Switzerland,26504,26650,26777,26886,26980,27061,27131,27192,27244,27289,27327,27360,27389,27413
Sweden,12327,12719,13103,13479,13846,14206,14559,14904,15243,15574,15898,16215,16525,16828
Spain,182672,184430,185947,187258,188394,189380,190238,190988,191644,192220,192727,193174,193571,193923
U.K.,102084,104070,105590,106757,107653,108342,108874,109285,109604,109853,110047,110199,110319,110414
Netherland,29065,29747,30362,30913,31402,31834,32213,32545,32834,33084,33300,33486,33645,33782
Belgium,34507,35328,36050,36687,37252,37753,38198,38596,38952,39271,39559,39817,40051,40262
Norway,6908,7014,7116,7214,7307,7397,7482,7564,7642,7717,7789,7858,7924,7987
Austria,14484,14594,14686,14738,14782,14818,14847,14871,14893,14913,14932,14949,14966,14982
Brazil,29629,30652,31677,32701,33723,34743,35757,36766,37767,38759,39742,40714,41675,42623
Denmark,7180,7474,7760,8040,8314,8584,8851,9115,9378,9639,9899,10160,10420,10681
Canada,29628,30929,32153,33298,34365,35353,36265,37104,37872,38573,39211,39791,40316,40790
Luxembourg,3416,3454,3492,3529,3566,3594,3623,3649,3674,3697,3719,3739,3758,3775
Russia,26174,27808,29405,30859,32238,33531,34742,35874,36933,37924,38850,39715,40525,41281
Qatar,3915,4115,4309,4498,4681,4860,5033,5201,5365,5524,5678,5828,5974,6116
France,150103,152083,153831,155375,156737,157940,159003,159940,160768,161499,162145,162714,163217,163661
Ireland,13239,13915,14570,15198,15797,16366,16903,17409,17884,18330,18748,19139,19505,19847
Portugal,3915,4115,4309,4498,4681,4860,5033,5201,5365,5524,5678,5828,5974,6116
Turkey,73054,76632,80113,83493,86768,89938,93004,95967,98830,101596,104266,106844,109332,111735
Israel,12768,13021,13260,13487,13701,13903,14094,14275,14446,14607,14760,14905,15041,15170
Estonia,1432,1463,1493,1522,1550,1577,1603,1628,1652,1675,1697,1718,1739,1759
Czech,6401,6493,6577,6655,6727,6792,6853,6908,6959,7006,7049,7088,7125,7158
Slovenia,1269,1289,1309,1328,1346,1363,1380,1396,1411,1426,1440,1453,1466,1478
Finland,3375,3472,3587,3701,3814,3919,4023,4125,4225,4322,4417,4510,4601,4689
Bahrain,1849,2024,2195,2363,2527,2688,2845,2999,3150,3298,3443,3584,3723,3859
