aera,2020/4/2,2020/4/3,2020/4/4,2020/4/5,2020/4/6,2020/4/7,2020/4/8,2020/4/9,2020/4/10,2020/4/11,2020/4/12,2020/4/13,2020/4/14,2020/4/15
Korea,9890,9966,10041,10115,10189,10263,10336,10408,10480,10552,10623,10693,10763,10833
Japan,2439,2683,2966,3292,3664,4085,4554,5071,5632,6232,6863,7519,8193,8876
Iran,46776,48624,50205,51561,52727,53728,54588,55326,55958,56497,56958,57350,57684,57968
Itay,110974,115121,119268,123339,126832,130006,132886,135494,137855,139989,141919,143662,145237,146660
America,210285,231353,250860,268427,283840,297044,308115,317224,324597,330480,335117,338734,341531,343677
German,75559,78951,81993,84701,87096,89204,91051,92662,94063,95278,96328,97235,98015,98687
Switzerland,17331,18009,18639,19225,19767,20269,20733,21161,21555,21919,22254,22562,22845,23105
Sweden,4882,5361,5873,6418,6999,7613,8261,8940,9648,10382,11138,11912,12699,13494
Spain,102763,109026,114681,119713,124133,127976,131290,134130,136553,138615,140366,141854,143117,144192
U.K.,29450,33462,37493,41478,45336,48988,52365,55418,58118,60460,62455,64126,65506,66632
Netherland,13545,14348,15063,15689,16229,16690,17078,17403,17672,17894,18077,18228,18351,18451
Belgium,13828,14767,15577,16255,16809,17252,17601,17872,18081,18239,18360,18451,18520,18572
Greece,1436,1546,1646,1726,1805,1882,1960,2041,2127,2219,2318,2426,2543,2670
Norway,5038,5416,5782,6141,6498,6857,7220,7593,7976,8373,8784,9211,9654,10115
Austria,11284,11946,12629,13163,13696,13996,14408,14837,15289,15763,16259,16776,17312,17864
Austrialia,5273,5798,6323,6883,7399,7931,8490,9086,9726,10412,11149,11935,12768,13646
Brazil,6524,7445,8474,9607,10837,12158,13557,15019,16526,18055,19584,21090,22549,23942
Denmark,3245,3460,3682,3911,4146,4387,4632,4881,5133,5388,5645,5904,6163,6423
Canada,9925,11369,12932,14596,16334,18117,19909,21676,23386,25012,26531,27930,29200,30339
Luxembourg,2434,2553,2681,2754,2828,2891,2968,3052,3143,3240,3343,3453,3569,3691
Russia,2855,3432,4051,4821,5664,6587,7577,8615,9681,10751,11804,12819,13781,14679
Qatar,812,844,876,908,940,972,1003,1035,1066,1097,1128,1159,1190,1221
France,58031,63334,68618,73783,78738,83410,87747,91711,95286,98471,101275,103719,105831,107642
Ireland,3761,4429,5230,6151,7170,8257,9380,10507,11607,12656,13636,14534,15345,16068
Portugal,812,844,876,908,940,972,1003,1035,1066,1097,1128,1159,1190,1221
Turkey,16572,19847,23204,26492,29588,32411,34923,37121,39023,40656,42054,43246,44263,45130
Israel,5938,6519,7097,7668,8228,8775,9308,9825,10326,10810,11277,11727,12161,12579
Estonia,829,925,1031,1150,1282,1428,1589,1765,1959,2171,2401,2650,2918,3206
Czech,3775,4286,4845,5453,6110,6816,7567,8360,9189,10048,10929,11822,12718,13608
Slovenia,860,921,985,1052,1122,1194,1270,1349,1430,1514,1601,1691,1783,1878
Finland,1611,1771,1965,2168,2370,2637,2906,3195,3504,3834,4183,4551,4937,5338
Bahrain,589,611,634,656,680,703,726,750,774,798,822,847,872,897
