Actual_interval_down,Actual_interval_up,Confirm_interval_down,Confirm_interval_up,Dailynew_actual,Dailynew_confirm,Dailynew_cure,Dailynew_remove,Date,Predict_actual,Predict_confirm,Predict_cure,Remain_confirm,Remove,ADate,Official_confirmed,Official_cure,Official_dailynew,Official_remove
12720.0,13166.0,12720.0,13166.0,0.0,0.0009311564317613374,4.365332924424365,0.0009311564317613374,2020/04/06,12942.498093383956,12942.495575003726,13085.595187289067,0.0,12942.495575003726,,,,,
12720.0,13167.0,12720.0,13166.0,0.0,0.0006798030644858954,3.8296317025815374,0.0006798030644858954,2020/04/07,12942.498093383956,12942.49625480679,13089.424818991647,0.0,12942.49625480679,,,,,
12720.0,13167.0,12720.0,13166.0,0.0,0.0004962995299138129,3.362480431238509,0.0004962995299138129,2020/04/08,12942.498093383956,12942.49675110632,13092.787299422887,0.0,12942.49675110632,,,,,
12719.0,13166.0,12720.0,13166.0,0.0,0.00036232895035936963,2.9554345987635315,0.00036232895035936963,2020/04/09,12942.498093383956,12942.49711343527,13095.74273402165,0.0,12942.49711343527,,,,,
12720.0,13166.0,12720.0,13166.0,0.0,0.0002645229415065842,2.600998623644045,0.0002645229415065842,2020/04/10,12942.498093383956,12942.497377958212,13098.343732645295,0.0,12942.497377958212,,,,,
12719.0,13166.0,12721.0,13166.0,0.0,0.00019311827782075852,2.2925456960765587,0.00019311827782075852,2020/04/11,12942.498093383956,12942.49757107649,13100.636278341372,0.0,12942.49757107649,,,,,
12720.0,13166.0,12720.0,13166.0,0.0,0.00014098870997258928,2.0242359577969182,0.00014098870997258928,2020/04/12,12942.498093383956,12942.4977120652,13102.660514299167,0.0,12942.4977120652,,,,,
12721.0,13166.0,12720.0,13166.0,0.0,0.00010293081504642032,1.790936603309092,0.00010293081504642032,2020/04/13,12942.498093383956,12942.497814996015,13104.451450902478,0.0,12942.497814996015,,,,,
12720.0,13166.0,12720.0,13166.0,0.0,7.514342905778904e-05,1.5881459952324803,7.514342905778904e-05,2020/04/14,12942.498093383956,12942.497890139444,13106.03959689771,0.0,12942.497890139444,,,,,
12720.0,13166.0,12720.0,13166.0,0.0,5.4860645832377486e-05,1.411923070660123,5.4860645832377486e-05,2020/04/15,12942.498093383956,12942.49794500009,13107.451519968368,0.0,12942.49794500009,,,,,
12720.0,13166.0,12720.0,13166.0,0.0,4.00537574023474e-05,1.2588226001662406,4.00537574023474e-05,2020/04/16,12942.498093383956,12942.497985053848,13108.710342568535,0.0,12942.497985053848,,,,,
12720.0,13166.0,12720.0,13165.0,0.0,2.9240411095088348e-05,1.125836474207972,2.9240411095088348e-05,2020/04/17,12942.498093383956,12942.498014294259,13109.836179042744,0.0,12942.498014294259,,,,,
12720.0,13166.0,12720.0,13166.0,0.0,2.134825444954913e-05,1.0103408972954642,2.134825444954913e-05,2020/04/18,12942.498093383956,12942.498035642513,13110.846519940042,0.0,12942.498035642513,,,,,
12720.0,13166.0,12720.0,13166.0,0.0,1.5584882930852473e-05,0.9100492080524418,1.5584882930852473e-05,2020/04/19,12942.498093383956,12942.498051227396,13111.75656914809,0.0,12942.498051227396,,,,,
12720.0,13166.0,12719.0,13166.0,0.0,1.1377482223906554e-05,0.8229699710282148,1.1377482223906554e-05,2020/04/20,12942.498093383956,12942.498062604878,13112.57953911912,0.0,12942.498062604878,,,,,
12720.0,13166.0,12720.0,13166.0,0.0,8.307339157909155e-06,0.7473698929297825,8.307339157909155e-06,2020/04/21,12942.498093383956,12942.498070912217,13113.32690901205,0.0,12942.498070912217,,,,,
12720.0,13166.0,12720.0,13167.0,0.0,6.06383582635317e-06,0.6817410703442874,6.06383582635317e-06,2020/04/22,12942.498093383956,12942.498076976053,13114.008650082395,0.0,12942.498076976053,,,,,
