aera,2020/4/7,2020/4/8,2020/4/9,2020/4/10,2020/4/11,2020/4/12,2020/4/13,2020/4/14,2020/4/15,2020/4/16,2020/4/17,2020/4/18,2020/4/19,2020/4/20
Japan,4446,5129,5894,6722,7593,8487,9386,10277,11148,11992,12804,13582,14329,15045
Iran,60350,62261,63988,65552,66975,68270,69453,70534,71522,72425,73251,74006,74695,75324
Itay,132895,136258,139620,142617,145281,147681,149840,151778,153515,155069,156459,157701,158810,159800
America,359345,378485,394611,407877,418580,427077,433738,438908,442891,445942,448272,450047,451397,452425
German,104840,108136,111024,113539,115720,117605,119231,120631,121836,122874,123768,124540,125207,125784
Switzerland,21738,22318,22844,23322,23756,24149,24507,24833,25129,25400,25649,25876,26086,26279
Sweden,7419,8043,8698,9382,10091,10822,11571,12333,13103,13877,14649,15415,16170,16909
Spain,137171,141911,146150,149920,153259,156206,158801,161084,163091,164854,166406,167771,168974,170036
U.K.,52720,56855,60782,64454,67845,70941,73742,76259,78507,80505,82275,83839,85218,86431
Netherland,19372,20392,21302,22118,22840,23475,24028,24506,24917,25269,25569,25824,26040,26224
Belgium,21661,23503,25070,26345,27362,28169,28811,29323,29734,30065,30335,30554,30734,30883
Greece,1900,2042,2163,2248,2329,2405,2481,2558,2638,2723,2814,2910,3014,3126
Norway,5949,6191,6416,6627,6828,7021,7208,7390,7571,7750,7930,8112,8297,8485
Austria,12376,12625,12889,13140,13391,13567,13749,13915,14067,14205,14331,14447,14552,14648
Austrialia,6006,6233,6459,6744,6978,7201,7412,7612,7801,7979,8147,8305,8454,8593
Brazil,12654,14229,15845,17488,19133,20754,22325,23822,25224,26516,27687,28733,29655,30456
Denmark,4742,4921,5100,5277,5453,5627,5800,5972,6142,6311,6479,6645,6809,6973
Canada,17419,19082,20727,22328,23861,25308,26655,27894,29021,30036,30943,31749,32460,33085
Luxembourg,2946,3053,3154,3240,3326,3365,3418,3469,3520,3572,3624,3678,3734,3791
Russia,6306,7257,8233,9262,10287,11298,12277,13211,14090,14908,15662,16351,16978,17544
Qatar,1755,1914,2077,2241,2404,2564,2723,2878,3031,3180,3327,3472,3613,3752
France,99359,104187,108349,111929,115007,117653,119927,121881,123561,125004,126244,127310,128225,129012
Ireland,5537,6110,6713,7343,7998,8674,9368,10072,10783,11492,12195,12884,13554,14200
Portugal,1755,1914,2077,2241,2404,2564,2723,2878,3031,3180,3327,3472,3613,3752
Turkey,29314,31378,33270,35004,36593,38048,39382,40604,41724,42750,43690,44551,45340,46064
Israel,9100,31378,10399,11023,11626,12206,12764,13299,13810,14297,14761,15203,15623,16021
Estonia,1179,1268,1363,1465,1574,1689,1813,1943,2082,2228,2382,2544,2713,2891
Czech,4840,5097,5360,5627,5899,6176,6458,6746,7040,7340,7645,7956,8272,8594
Slovenia,1044,1093,1142,1193,1244,1296,1350,1404,1458,1514,1571,1628,1687,1746
Finland,2063,2208,2358,2513,2667,2855,3044,3243,3453,3672,3903,4143,4395,4656
Bahrain,725,751,777,804,830,857,885,912,940,968,996,1024,1053,1082
