aera,2020/4/12,2020/4/13,2020/4/14,2020/4/15,2020/4/16,2020/4/17,2020/4/18,2020/4/19,2020/4/20,2020/4/21,2020/4/22,2020/4/23,2020/4/24,2020/4/25
Japan,6904,7653,8426,9211,9996,10774,11535,12276,12996,13697,14378,15039,15679,16300
Iran,69405,70511,71518,72435,73271,74032,74725,75357,75932,76456,76933,77368,77764,78125
Itay,149813,152456,155100,156674,158434,160019,161445,162726,163875,164906,165830,166657,167398,168060
America,526071,550838,573346,593503,611317,626872,640308,651802,661550,669754,676614,682317,687034,690920
German,125601,128018,130197,132159,133923,135507,136928,138202,139345,140370,141290,142117,142860,143529
Switzerland,25036,25492,25920,26323,26700,27055,27387,27700,27993,28269,28528,28771,28999,29213
Sweden,10346,11027,11723,12428,13136,13844,14546,15239,15918,16581,17225,17847,18448,19025
Spain,161271,163880,166127,168062,169729,171166,172407,173481,174413,175224,175930,176548,177090,177567
U.K.,77952,81009,83770,86245,88446,90396,92116,93628,94954,96116,97132,98020,98796,99473
Netherland,24167,24991,25698,26305,26826,27273,27657,27987,28270,28513,28721,28900,29054,29185
Belgium,27536,28314,28999,29598,30121,30576,30970,31312,31608,31865,32087,32281,32448,32595
Greece,2215,2352,2430,2462,2499,2536,2575,2617,2661,2708,2758,2811,2867,2927
Norway,6476,6634,6786,6933,7075,7212,7344,7472,7595,7714,7828,7939,8045,8148
Austria,14102,14252,14577,14892,15207,15456,15707,15944,16165,16373,16569,16752,16924,17086
Austrialia,6307,6399,6491,6573,6655,6734,6809,6882,6952,7020,7085,7148,7208,7266
Brazil,21425,23028,24560,25994,27308,28491,29540,30455,31242,31912,32476,32945,33333,33651
Denmark,6297,6582,6867,7153,7439,7725,8011,8297,8581,8865,9148,9429,9709,9987
Canada,23915,25704,27473,29187,30820,32354,33776,35081,36266,37335,38291,39142,39894,40558
Luxembourg,3405,3493,3598,3682,3767,3793,3836,3876,3915,3954,3992,4032,4072,4112
Russia,13514,15142,16798,18473,20114,21703,23223,24662,26014,27275,28447,29531,30531,31453
Qatar,2709,2906,3100,3290,3476,3659,3837,4010,4180,4345,4506,4663,4816,4966
France,130135,133892,137223,140158,142732,144979,146935,148633,150104,151376,152475,153423,154239,154942
Ireland,8719,9400,10120,10868,11632,12404,13173,13930,14669,15381,16062,16708,17313,17878
Portugal,2709,2906,3100,3290,3476,3659,3837,4010,4180,4345,4506,4663,4816,4966
Turkey,51382,55617,59660,63448,66939,70105,72937,75439,77624,79514,81135,82515,83683,84665
Israel,10867,11311,11741,12157,12558,12945,13318,13678,14025,14359,14681,14991,15289,15577
Estonia,1318,1382,1451,1523,1600,1681,1766,1855,1949,2046,2149,2255,2366,2482
Czech,5924,6111,6292,6467,6637,6803,6963,7118,7269,7415,7557,7694,7827,7956
Slovenia,1188,1215,1241,1266,1290,1313,1336,1357,1378,1398,1417,1436,1454,1471
Finland,2975,3179,3396,3619,3842,4106,4371,4646,4933,5229,5536,5852,6176,6508
Bahrain,945,965,984,1003,1021,1039,1056,1073,1090,1106,1121,1137,1151,1166
