aera,2020/4/2,2020/4/3,2020/4/4,2020/4/5,2020/4/6,2020/4/7,2020/4/8,2020/4/9,2020/4/10,2020/4/11,2020/4/12,2020/4/13,2020/4/14,2020/4/15
Japan,2967,3177,3404,3649,3912,4193,4493,4811,5148,5504,5878,6272,6683,7113
Iran,52354,53676,54628,55332,55869,56291,56631,56912,57148,57349,57523,57675,57808,57925
Itay,119506,123133,126760,130016,132917,135545,137922,140070,142011,143763,145344,146771,148058,149219
America,266176,287468,306889,324176,339229,352083,362874,371802,379095,384989,389708,393459,396420,398745
German,89053,92925,96408,99511,102255,104664,106770,108602,110193,111571,112763,113794,114686,115458
Switzerland,19586,20298,20966,21592,22179,22729,23245,23728,24181,24606,25004,25378,25728,26056
Sweden,6064,6602,7177,7790,8437,9116,9825,10561,11320,12097,12887,13686,14489,15288
Spain,117669,122655,127029,130826,134097,136896,139283,141312,143036,144498,145741,146798,147699,148469
U.K.,38207,42244,46175,49903,53351,56463,59210,61586,63603,65286,66671,67796,68699,69418
Netherland,15547,16210,16772,17239,17621,17931,18179,18377,18534,18658,18756,18833,18894,18942
Belgium,16527,17631,18646,19567,20390,21117,21753,22306,22783,23193,23544,23844,24101,24319
Greece,1677,1795,1901,1984,2064,2141,2219,2300,2385,2475,2572,2676,2789,2911
Norway,5386,5624,5859,6091,6322,6550,6776,7000,7222,7441,7658,7873,8086,8297
Austria,11984,12288,12651,12790,12930,13106,13284,13474,13676,13890,14118,14359,14612,14879
Austrialia,5750,6200,6650,7110,7515,7917,8327,8752,9199,9671,10172,10705,11270,11869
Brazil,9166,10425,11803,13282,14844,16462,18112,19763,21387,22955,24442,25829,27101,28250
Denmark,3760,3936,4103,4263,4419,4573,4727,4881,5038,5199,5365,5536,5713,5898
Canada,12801,14408,16079,17786,19500,21191,22831,24396,25865,27227,28472,29599,30608,31505
Luxembourg,2664,2737,2815,2846,2877,2916,2956,2999,3045,3095,3148,3205,3265,3330
Russia,4241,4987,5774,6675,7610,8574,9546,10508,11445,12344,13195,13992,14735,15420
Qatar,1003,1059,1115,1172,1230,1288,1346,1404,1461,1519,1576,1634,1690,1747
France,64612,69024,73096,76855,80324,83526,86482,89210,91728,94052,96197,98177,100004,101691
Ireland,4199,4560,4930,5307,5690,6076,6465,6853,7240,7624,8003,8377,8743,9101
Portugal,1003,1059,1115,1172,1230,1288,1346,1404,1461,1519,1576,1634,1690,1747
Turkey,20018,21802,23492,25093,26610,28046,29406,30695,31916,33072,34167,35204,36187,37118
Israel,7848,8887,9962,11059,12161,13250,14306,15316,16264,17141,17942,18662,19303,19867
Estonia,944,1048,1168,1307,1464,1641,1840,2060,2303,2569,2859,3172,3508,3867
Czech,4248,4677,5143,5646,6183,6751,7347,7967,8607,9262,9928,10599,11272,11941
Slovenia,938,979,1020,1059,1099,1137,1175,1212,1249,1285,1320,1355,1389,1423
Finland,1676,1799,1948,2101,2253,2437,2623,2821,3030,3251,3485,3732,3991,4263
Bahrain,666,690,715,740,765,790,816,842,869,896,923,951,979,1007
