aera,2020/4/25,2020/4/26,2020/4/27,2020/4/28,2020/4/29,2020/4/30,2020/5/1,2020/5/2,2020/5/3,2020/5/4,2020/5/5,2020/5/6,2020/5/7,2020/5/8
Japan,13136,13985,14893,15836,16790,17734,18649,19523,20345,21110,21815,22460,23046,23576
Iran,87441,88666,89890,90283,91066,91826,92564,93276,93963,94623,95258,95867,96451,97009
Itay,191905,194174,196444,198010,199713,201296,202763,204118,205367,206516,207570,208535,209418,210224
America,893177,913357,930637,945845,959313,971240,981783,991087,999281,1006490,1012824,1018386,1023267,1027550
German,152778,153724,154597,155404,156149,156838,157474,158062,158605,159106,159570,159998,160393,160759
Switzerland,28529,28636,28730,28811,28882,28944,28998,29045,29086,29122,29153,29179,29203,29223
Sweden,17170,17571,17960,18337,18702,19055,19396,19727,20048,20358,20659,20950,21232,21505
Spain,213078,215250,217280,219163,220901,222501,223971,225320,226558,227694,228737,229694,230573,231382
U.K.,142846,146195,149311,152207,154900,157404,159732,161896,163908,165779,167518,169135,170638,172035
Netherland,36603,37240,37834,38387,38899,39373,39811,40215,40587,40929,41244,41534,41800,42044
Belgium,44029,45195,46294,47327,48294,49196,50038,50820,51545,52217,52839,53412,53942,54430
Norway,7496,7558,7633,7707,7780,7844,7907,7968,8027,8083,8136,8188,8237,8285
Austria,15131,15259,15388,15515,15642,15769,15895,16020,16145,16269,16392,16515,16637,16759
Brazil,51985,54433,56836,59196,61512,63786,66019,68210,70362,72474,74548,76584,78582,80545
Denmark,8437,8585,8730,8868,9006,9110,9217,9319,9415,9507,9595,9680,9762,9842
Canada,44496,45666,46795,47882,48930,49939,50909,51842,52738,53599,54425,55218,55978,56708
Luxembourg,3709,3738,3772,3806,3839,3867,3895,3921,3946,3969,3992,4013,4033,4052
Russia,65760,68364,70679,72148,73337,74234,74907,75411,75787,76067,76277,76434,76551,76640
Qatar,8215,8656,9076,9466,9824,10146,10431,10682,10899,11086,11245,11379,11491,11585
France,161059,162467,163707,164799,165762,166610,167357,168015,168596,169107,169558,169955,170306,170614
Ireland,18183,18736,19268,19782,20277,20756,21219,21666,22097,22514,22914,23300,23670,24024
Portugal,8215,8656,9076,9466,9824,10146,10431,10682,10899,11086,11245,11379,11491,11585
Turkey,105166,108453,111653,114769,117803,120756,123632,126432,129158,131812,134397,136913,139362,141747
Israel,15003,15193,15373,15544,15706,15860,16005,16144,16275,16399,16517,16629,16735,16835
Estonia,1615,1639,1662,1685,1707,1729,1750,1771,1792,1813,1833,1854,1874,1893
Czech,7293,7397,7501,7604,7706,7806,7906,8004,8101,8198,8293,8387,8481,8573
Slovenia,1378,1389,1400,1411,1420,1429,1438,1446,1454,1461,1468,1474,1481,1486
Finland,4409,4487,4587,4685,4783,4872,4962,5049,5134,5217,5297,5376,5452,5527
Bahrain,2289,2360,2429,2496,2562,2626,2688,2748,2807,2864,2920,2974,3027,3078
