aera,2020/3/27,2020/3/28,2020/3/29,2020/3/30,2020/3/31,2020/4/1,2020/4/2,2020/4/3,2020/4/4,2020/4/5,2020/4/6,2020/4/7,2020/4/8,2020/4/9
Korea,9196,9221,9243,9263,9281,9297,9311,9323,9335,9345,9354,9362,9369,9376
Japan,1378,1454,1535,1622,1713,1810,1913,2021,2136,2257,2384,2518,2659,2808
Iran,28449,29841,31173,32431,33605,34690,35684,36588,37406,38141,38798,39385,39906,40368
Itay,78515,82006,84807,86974,88606,89811,90687,91319,91772,92095,92326,92491,92609,92694
America,73549,79448,83948,87300,89766,91572,92895,93865,94579,95106,95498,95788,96006,96168
German,41451,45317,48844,51975,54683,56967,58852,60378,61591,62542,63277,63841,64268,64590
Switzerland,12246,13476,14609,15661,16641,17556,18407,19198,19928,20599,21215,21776,22286,22750
Sweden,2844,3191,3569,3983,4433,4923,5453,6024,6637,7290,7982,8712,9476,10272
Spain,54759,59666,64062,67858,71032,73615,75669,77273,78505,79440,80143,80668,81057,81345
U.K.,11582,13729,16069,18566,21166,23802,26401,28893,31214,33320,35183,36792,38152,39281
Netherland,7440,8546,9751,11044,12407,13820,15257,16690,18093,19440,20709,21884,22953,23911
Belgium,5705,6545,7455,8427,9452,10515,11601,12692,13771,14822,15828,16780,17668,18487
Greece,908,990,1066,1134,1203,1274,1349,1429,1517,1613,1719,1836,1967,2113
Singapore,646,689,732,773,815,855,895,935,973,1012,1049,1086,1122,1158
Philippines,766,922,1105,1318,1561,1836,2141,2474,2831,3203,3585,3968,4343,4702
Norway,3459,3784,4129,4491,4872,5268,5681,6108,6547,6997,7456,7922,8394,8868
Austria,6569,7386,8238,9047,9856,10700,11612,12588,13626,14715,15842,16986,18128,19245
Austrialia,2732,3097,3471,3856,4252,4660,5081,5517,5966,6431,6909,7402,7908,8427
Pakistan,1803,2304,2926,3688,4607,5693,6948,8365,9922,11583,13305,15040,16738,18358
Brazil,3615,4467,5420,6459,7564,8715,9890,11071,12242,13393,14512,15593,16632,17626
Denmark,1959,2090,2227,2371,2522,2680,2844,3014,3191,3375,3564,3759,3959,4164
Canada,4245,5257,6445,7808,9334,10997,12758,14573,16393,18175,19884,21494,22990,24367
Luxembourg,1560,1774,1984,2181,2379,2609,2861,3137,3435,3751,4078,4406,4729,5037
Malaysia,2070,2276,2549,2803,3061,3321,3583,3842,4099,4350,4595,4833,5063,5283
Thailand,1127,1340,1568,1808,2056,2307,2560,2810,3055,3293,3523,3744,3956,4157
Russia,808,992,1218,1491,1821,2215,2682,3229,3862,4585,5398,6295,7269,8304
