aera,2020/4/9,2020/4/10,2020/4/11,2020/4/12,2020/4/13,2020/4/14,2020/4/15,2020/4/16,2020/4/17,2020/4/18,2020/4/19,2020/4/20,2020/4/21,2020/4/22
Japan,5065,5754,6514,7331,8189,9073,9967,10857,11733,12587,13412,14202,14958,15681
Iran,64197,65676,67036,68285,69432,70485,71452,72340,73154,73902,74588,75217,75794,76323
Itay,138483,141406,144329,146473,148605,150534,152276,153849,155267,156544,157694,158729,159660,160497
America,422565,444450,463662,480207,494222,505927,515587,523480,529878,535031,539161,542459,545086,547175
German,111350,113813,115942,117784,119374,120744,121925,122943,123820,124578,125234,125801,126295,126724
Switzerland,22700,23115,23501,23860,24193,24502,24790,25057,25306,25537,25751,25950,26135,26307
Sweden,8312,8956,9621,10302,10996,11698,12404,13109,13809,14501,15180,15844,16491,17119
Spain,146158,149925,153268,156221,158825,161118,163135,164911,166476,167856,169075,170153,171109,171958
U.K.,59685,63186,66434,69424,72159,74649,76908,78954,80803,82472,83978,85335,86558,87660
Netherland,20724,21548,22242,22836,23345,23780,24152,24467,24734,24959,25148,25307,25440,25551
Belgium,23252,24232,25133,25957,26708,27390,28007,28564,29065,29515,29919,30280,30603,30892
Greece,1946,2063,2182,2305,2431,2560,2692,2826,2963,3102,3243,3387,3532,3679
Norway,6355,6599,6821,7026,7217,7398,7571,7739,7903,8066,8229,8392,8557,8726
Austria,12938,13130,13354,13568,13781,13930,14084,14224,14351,14467,14573,14670,14758,14838
Austrialia,6028,6151,6273,6389,6499,6604,6704,6800,6891,6978,7061,7140,7215,7288
Brazil,15364,16719,18078,19425,20742,22015,23231,24382,25460,26462,27385,28231,29000,29695
Denmark,5514,5764,6015,6268,6522,6778,7036,7295,7556,7819,8082,8348,8614,8881
Canada,19817,21266,22663,23995,25250,26421,27505,28501,29409,30233,30977,31647,32247,32784
Luxembourg,3128,3225,3326,3410,3493,3526,3573,3618,3662,3707,3752,3798,3845,3893
Russia,8546,9611,10691,11766,12807,13799,14727,15584,16367,17076,17711,18278,18782,19227
Qatar,2255,2462,2670,2875,3077,3273,3465,3653,3835,4013,4187,4356,4521,4682
France,115417,120488,125026,129074,132683,135902,138773,141333,143615,145651,147466,149085,150529,151816
Ireland,6102,6501,6906,7313,7723,8133,8542,8948,9352,9750,10144,10530,10909,11280
Portugal,2255,2462,2670,2875,3077,3273,3465,3653,3835,4013,4187,4356,4521,4682
Turkey,36515,38693,40633,42347,43856,45184,46350,47374,48273,49063,49756,50365,50900,51369
Israel,9746,10226,10689,11136,11566,11981,12381,12766,13136,13494,13838,14170,14489,14797
Estonia,1225,1305,1388,1474,1563,1655,1751,1849,1950,2055,2162,2272,2385,2501
Czech,5208,5392,5569,5739,5902,6060,6211,6356,6496,6630,6759,6883,7002,7117
Slovenia,1101,1143,1186,1229,1272,1316,1360,1405,1449,1495,1540,1586,1632,1678
Finland,2461,2644,2823,3008,3193,3417,3642,3878,4125,4383,4651,4931,5220,5519
Bahrain,832,853,874,895,916,937,957,978,999,1019,1040,1060,1081,1101
