aera,2020/4/13,2020/4/14,2020/4/15,2020/4/16,2020/4/17,2020/4/18,2020/4/19,2020/4/20,2020/4/21,2020/4/22,2020/4/23,2020/4/24,2020/4/25,2020/4/26
Japan,7382,7861,8354,8858,9370,9887,10406,10924,11440,11951,12455,12952,13440,13917
Iran,71577,73044,74434,75751,76998,78179,79298,80358,81363,82314,83215,84068,84877,85643
Itay,156312,159549,162786,166078,168906,171493,173850,175989,177924,179668,181236,182643,183901,185025
America,551908,574418,594543,612291,627750,641067,652426,662030,670090,676808,682375,686967,690738,693825
German,127795,129844,131679,133330,134818,136160,137371,138465,139452,140346,141155,141888,142554,143159
Switzerland,25562,25990,26391,26768,27121,27453,27764,28056,28330,28588,28829,29056,29269,29468
Sweden,10829,11522,12226,12935,13645,14351,15049,15736,16407,17061,17695,18307,18896,19462
Spain,165757,168128,170180,171955,173492,174825,175983,176992,177871,178641,179316,179910,180433,180897
U.K.,83027,85885,88458,90758,92801,94609,96203,97605,98836,99915,100860,101687,102411,103044
Netherland,25634,26626,27543,28383,29147,29835,30451,31000,31484,31911,32284,32609,32891,33134
Belgium,28750,29394,29946,30412,30805,31135,31411,31643,31837,32001,32139,32255,32353,32437
Greece,2247,2339,2357,2376,2397,2419,2442,2467,2493,2520,2549,2580,2613,2647
Norway,6510,6604,6692,6774,6850,6922,6988,7051,7108,7163,7213,7260,7304,7345
Austria,13882,13991,14072,14147,14221,14263,14308,14347,14381,14410,14436,14458,14477,14494
Brazil,22540,24047,25459,26758,27932,28976,29891,30683,31360,31932,32411,32809,33136,33404
Denmark,6481,6771,7060,7347,7634,7920,8205,8488,8770,9052,9331,9609,9886,10161
Canada,25123,27016,28909,30734,32447,34021,35445,36718,37843,38831,39692,40441,41088,41645
Luxembourg,3476,3560,3672,3761,3850,3875,3919,3960,3999,4038,4077,4116,4156,4196
Russia,15321,17068,18825,20529,22164,23711,25161,26513,27765,28922,29988,30967,31867,32692
Qatar,2929,3128,3324,3514,3700,3881,4057,4229,4397,4560,4720,4875,5027,5174
France,134186,137281,140043,142503,144692,146639,148371,149910,151278,152493,153574,154534,155388,156146
Ireland,9587,10274,10978,11690,12400,13102,13790,14457,15099,15714,16300,16854,17378,17870
Portugal,2929,3128,3324,3514,3700,3881,4057,4229,4397,4560,4720,4875,5027,5174
Turkey,57093,62313,66988,70956,74266,77011,79280,81154,82701,83977,85030,85899,86616,87207
Israel,11163,11571,11967,12349,12720,13079,13427,13763,14089,14405,14710,15006,15292,15569
Estonia,1363,1426,1494,1566,1641,1720,1804,1891,1982,2078,2177,2281,2389,2501
Czech,6084,6261,6431,6597,6757,6912,7062,7207,7348,7484,7615,7743,7866,7985
Slovenia,1215,1241,1266,1290,1313,1336,1357,1378,1398,1417,1436,1454,1471,1488
Finland,3134,3341,3571,3807,4043,4318,4594,4880,5176,5482,5798,6122,6453,6791
Bahrain,1078,1117,1157,1197,1239,1281,1324,1367,1412,1457,1502,1548,1595,1643
