aera,2020/4/18,2020/4/19,2020/4/20,2020/4/21,2020/4/22,2020/4/23,2020/4/24,2020/4/25,2020/4/26,2020/4/27,2020/4/28,2020/4/29,2020/4/30,2020/5/1
Japan,9895,10489,11072,11643,12200,12744,13274,13789,14291,14778,15251,15710,16155,16585
Iran,79212,80158,81103,82119,82991,83807,84572,85288,85958,86585,87173,87723,88238,88720
Itay,172584,175433,178282,181358,183978,186403,188639,190692,192571,194286,195845,197261,198544,199702
America,686951,704144,719407,732837,744570,754761,763571,771156,777666,783239,788001,792064,795527,798477
German,139244,140656,141945,143121,144195,145174,146067,146882,147625,148303,148920,149483,149997,150465
Switzerland,26879,27007,27118,27213,27295,27366,27427,27479,27524,27563,27597,27625,27650,27671
Sweden,12932,13316,13692,14060,14421,14774,15120,15458,15790,16114,16432,16742,17046,17343
Spain,187667,190209,192524,194625,196530,198258,199829,201257,202556,203740,204821,205808,206711,207539
U.K.,108281,111935,115176,118065,120652,122979,125083,126992,128732,130324,131784,133127,134367,135512
Netherland,30060,30673,31223,31712,32145,32525,32858,33147,33398,33614,33800,33960,34096,34212
Belgium,35977,37057,38057,38983,39840,40634,41370,42053,42687,43275,43822,44329,44801,45240
Norway,7028,7108,7205,7301,7396,7477,7559,7637,7712,7783,7852,7918,7980,8041
Austria,14556,14631,14702,14760,14814,14862,14905,14944,14978,15009,15037,15061,15084,15104
Brazil,32182,33628,35024,36370,37668,38920,40129,41294,42419,43503,44550,45559,46533,47472
Denmark,7183,7280,7365,7440,7507,7566,7618,7663,7704,7739,7771,7799,7823,7845
Canada,31838,32813,33735,34603,35418,36183,36898,37566,38188,38768,39308,39809,40274,40705
Luxembourg,3477,3518,3553,3587,3621,3647,3673,3697,3720,3741,3761,3780,3797,3813
Russia,31008,34079,37070,39916,42568,44997,47187,49137,50855,52356,53658,54782,55747,56574
Qatar,4318,4528,4732,4930,5121,5307,5487,5661,5830,5994,6152,6306,6454,6598
France,167114,168914,170465,171801,172952,173943,174797,175532,176166,176711,177181,177586,177934,178235
Ireland,13945,14598,15226,15824,16391,16927,17432,17906,18350,18766,19155,19519,19860,20177
Portugal,4318,4528,4732,4930,5121,5307,5487,5661,5830,5994,6152,6306,6454,6598
Turkey,77654,81020,84288,87459,90533,93513,96398,99192,101895,104511,107042,109489,111856,114144
Israel,13123,13471,13803,14119,14418,14702,14971,15224,15463,15689,15901,16101,16288,16464
Estonia,1464,1493,1520,1547,1573,1598,1622,1645,1667,1688,1709,1728,1747,1766
Czech,6523,6606,6683,6753,6817,6876,6930,6980,7026,7068,7106,7142,7174,7204
Slovenia,1288,1308,1327,1345,1362,1379,1395,1410,1425,1439,1453,1465,1478,1490
Finland,3520,3607,3724,3839,3954,4059,4164,4267,4367,4465,4560,4653,4744,4833
Bahrain,1843,1985,2125,2263,2399,2534,2667,2798,2928,3056,3182,3306,3430,3551
