aera,2020/4/19,2020/4/20,2020/4/21,2020/4/22,2020/4/23,2020/4/24,2020/4/25,2020/4/26,2020/4/27,2020/4/28,2020/4/29,2020/4/30,2020/5/1,2020/5/2
Japan,10433,11015,11588,12151,12703,13242,13770,14284,14785,15271,15744,16203,16648,17078
Iran,80656,81528,82399,83366,84181,84942,85654,86319,86940,87521,88064,88571,89045,89488
Itay,175179,177906,180633,182927,185168,187256,189196,190992,192651,194179,195584,196873,198054,199133
America,720035,737996,754137,768522,781258,792473,802306,810897,818380,824883,830523,835409,839636,843291
German,143342,145171,146890,148505,150024,151451,152793,154054,155239,156353,157400,158384,159309,160178
Switzerland,27383,27654,27894,28106,28292,28457,28601,28728,28839,28936,29021,29096,29161,29218
Sweden,13630,14037,14436,14826,15207,15579,15941,16294,16639,16975,17302,17622,17933,18236
Spain,193580,196128,198422,200474,202306,203942,205405,206713,207885,208936,209880,210729,211495,212185
U.K.,113796,117473,120810,123828,126551,129004,131211,133196,134981,136585,138025,139319,140481,141525
Netherland,31286,31892,32439,32928,33364,33749,34089,34388,34649,34876,35074,35245,35393,35521
Belgium,37403,38584,39687,40722,41693,42607,43469,44283,45052,45780,46470,47124,47745,48333
Norway,7058,7136,7232,7325,7419,7499,7579,7656,7729,7800,7867,7932,7994,8053
Austria,14665,14730,14791,14841,14887,14928,14964,14996,15025,15051,15074,15094,15112,15128
Brazil,35158,36580,37951,39271,40543,41768,42949,44086,45182,46237,47255,48234,49178,50088
Denmark,7544,7741,7974,8206,8438,8658,8878,9095,9308,9517,9722,9924,10122,10315
Canada,33848,34825,35744,36605,37409,38158,38854,39498,40094,40645,41152,41619,42048,42442
Luxembourg,3510,3550,3582,3614,3645,3670,3694,3717,3739,3759,3777,3795,3811,3826
Russia,35068,38053,40886,43514,45908,48056,49960,51632,53090,54355,55447,56387,57194,57886
Qatar,4528,4732,4930,5121,5307,5487,5661,5830,5994,6152,6306,6454,6598,6738
France,151832,154293,156532,158570,160424,162111,163646,165042,166312,167467,168519,169475,170345,171136
Ireland,14598,15226,15824,16391,16927,17432,17906,18350,18766,19155,19519,19860,20177,20474
Portugal,4528,4732,4930,5121,5307,5487,5661,5830,5994,6152,6306,6454,6598,6738
Turkey,81945,85246,88447,91551,94557,97467,100283,103007,105642,108189,110651,113031,115331,117552
Israel,13471,13803,14119,14418,14702,14971,15224,15463,15689,15901,16101,16288,16464,16629
Estonia,1487,1514,1541,1566,1590,1614,1636,1658,1679,1699,1718,1736,1754,1771
Czech,6631,6707,6776,6839,6898,6951,7000,7045,7086,7123,7158,7189,7218,7245
Slovenia,1323,1341,1359,1376,1392,1407,1422,1437,1450,1464,1476,1488,1500,1511
Finland,3646,3726,3842,3956,4070,4174,4279,4381,4480,4577,4671,4763,4853,4941
Bahrain,1868,1995,2121,2245,2367,2489,2608,2727,2844,2960,3074,3188,3299,3410
