No.,city,country,latitude,longitude,latitude of nearest station,longitude of nearest station,USAF,WBAN,R,pop,R_index
0,Aberdeen,Scotland,57.15,-2.15,57.202,-2.198,30910.0,99999.0,2.0850667816299997,997.3946,6.253745434045888
1,Adelaide,Australia,-34.916666666666664,138.6,-34.917,138.61700000000002,946750.0,99999.0,2.07635594779,1947.089,6.830398785502115
2,Algiers,Algeria,36.833333333333336,3.0,36.783,3.0,603720.0,99999.0,2.397243156,7923.798000000002,9.346822780254634
3,Amsterdam,Netherlands,52.36666666666667,4.883333333333333,52.309,4.7639999999999985,62400.0,99999.0,2.11539078907,958.3389,6.308036218259802
4,Ankara,Turkey,39.91666666666666,32.916666666666664,39.95,32.883,171300.0,99999.0,2.01656372281,3006.8720000000008,7.014131625570042
5,Asuncion,Paraguay,-25.25,-57.66666666666666,-25.24,-57.519,862180.0,99999.0,1.8243565975799998,2652.073,6.246139441248281
6,Athens,Greece,37.96666666666667,23.716666666666665,37.882,23.735,167160.0,99999.0,2.0793608854400003,3641.986,7.405555425337273
7,Auckland,New Zealand,-36.86666666666667,174.75,-37.0,174.8,931100.0,99999.0,1.9357937204099998,2352.75,6.527032479396784
8,Bangkok,Thailand,13.75,100.5,13.733,100.567,484550.0,99999.0,1.61705873859,17298.41,6.853145534624375
9,Barcelona,Spain,41.38333333333333,2.15,41.417,2.133,81800.0,99999.0,1.7340233861099996,13835.16,7.180617850180521
10,Beijing,China,39.91666666666666,116.41666666666669,40.08,116.585,545110.0,99999.0,1.88057921225,1031.196,5.667618490848847
11,Belem,Brazil,-1.4666666666666668,-48.48333333333333,-1.4169999999999998,-48.433,816800.0,99999.0,1.57644665266,5089.703,5.843537392412328
12,Belfast,Northern Ireland,54.61666666666667,-5.933333333333334,54.618,-5.872999999999998,39240.0,99999.0,2.04893419959,2225.252,6.858959515303881
13,Belgrade,Serbia,44.86666666666667,20.53333333333333,44.8,20.467,132740.0,99999.0,1.9980566989300002,7956.94,7.794020890700421
14,Berlin,Germany,52.5,13.416666666666664,52.56,13.288,103820.0,99999.0,2.07223811979,3808.635,7.420443017781182
15,Birmingham,England,52.41666666666666,-1.9166666666666663,52.45399999999999,-1.7480000000000002,35340.0,99999.0,2.1049949421000003,93.37722,4.157085426279878
16,Bogota,Colombia,4.533333333333333,-74.25,4.702,-74.14699999999998,802220.0,99999.0,1.9587737867200001,6283.642,7.439972363140929
17,Bombay,India,19.0,72.8,19.089,72.868,430030.0,99999.0,1.6015531846899997,28063.6,7.123962982913211
18,Bordeaux,France,44.83333333333334,-0.5166666666666667,44.828,-0.716,75100.0,99999.0,1.9124241877700001,886.4697,5.638120128242307
19,Bremen,Germany,53.08333333333334,8.816666666666666,53.048,8.787,102240.0,99999.0,2.1189097092,1625.7179999999996,6.804480752968044
20,Brisbane,Australia,-27.48333333333333,153.13333333333333,-27.417,153.067,945780.0,99999.0,1.9159610929599997,2208.305,6.407463759041906
21,Bristol,England,51.46666666666667,-2.583333333333333,51.383,-2.719,37243.0,99999.0,2.07575801724,235.375,4.92702243023479
22,Brussels,Belgium,50.86666666666667,4.366666666666666,50.8,4.35,64470.0,99999.0,2.1792059839599998,8671.658000000001,8.582044884961835
23,Bucharest,Romania,44.41666666666666,26.11666666666667,44.417,26.1,154220.0,99999.0,1.9033378680900002,8773.603000000001,7.50529417807892
