No.,city,country,latitude,longitude,latitude of nearest station,longitude of nearest station,USAF,WBAN,R,pop,R_index
0,Aberdeen,Scotland,57.15,-2.15,57.202,-2.198,30910.0,99999.0,2.45493524988,997.3946,7.363092753227554
1,Adelaide,Australia,-34.916666666666664,138.6,-34.917,138.61700000000002,946750.0,99999.0,1.82258655199,1947.089,5.995596749408621
2,Algiers,Algeria,36.833333333333336,3.0,36.783,3.0,603720.0,99999.0,1.22698558375,7923.798000000002,4.784002313880642
3,Amsterdam,Netherlands,52.36666666666667,4.883333333333333,52.309,4.7639999999999985,62400.0,99999.0,1.99601939738,958.3389,5.952074064082302
4,Ankara,Turkey,39.91666666666666,32.916666666666664,39.95,32.883,171300.0,99999.0,1.93683732689,3006.8720000000008,6.736822543446938
5,Athens,Greece,37.96666666666667,23.716666666666665,37.882,23.735,167160.0,99999.0,2.0363992149900003,3641.986,7.252549261803891
6,Auckland,New Zealand,-36.86666666666667,174.75,-37.0,174.8,931100.0,99999.0,1.7254528737200001,2352.75,5.817813556112609
7,Bangkok,Thailand,13.75,100.5,13.733,100.567,484550.0,99999.0,1.06496559294,17298.41,4.513357507439213
8,Barcelona,Spain,41.38333333333333,2.15,41.417,2.133,81800.0,99999.0,1.7970922493200001,13835.16,7.441786995062858
9,Beijing,China,39.91666666666666,116.41666666666669,40.08,116.585,545110.0,99999.0,2.9291763537,1031.196,8.827840889150679
10,Belem,Brazil,-1.4666666666666668,-48.48333333333333,-1.4169999999999998,-48.433,816800.0,99999.0,1.01226920852,5089.703,3.7522569895995197
11,Belfast,Northern Ireland,54.61666666666667,-5.933333333333334,54.618,-5.872999999999998,39240.0,99999.0,1.9102445212999999,2225.252,6.3946855094466
12,Belgrade,Serbia,44.86666666666667,20.53333333333333,44.8,20.467,132740.0,99999.0,2.39325147647,7956.94,9.335596939914616
13,Berlin,Germany,52.5,13.416666666666664,52.56,13.288,103820.0,99999.0,2.48547873335,3808.635,8.900209457878164
14,Birmingham,England,52.41666666666666,-1.9166666666666663,52.45399999999999,-1.7480000000000002,35340.0,99999.0,2.25155724864,93.37722,4.446526515364668
15,Bogota,Colombia,4.533333333333333,-74.25,4.702,-74.14699999999998,802220.0,99999.0,1.7392394528,6283.642,6.606119373990818
16,Bombay,India,19.0,72.8,19.089,72.868,430030.0,99999.0,1.38398563335,28063.6,6.1561879524953245
17,Bordeaux,France,44.83333333333334,-0.5166666666666667,44.828,-0.716,75100.0,99999.0,2.2164207910599996,886.4697,6.534348788644906
18,Bremen,Germany,53.08333333333334,8.816666666666666,53.048,8.787,102240.0,99999.0,2.33012071736,1625.7179999999996,7.48274525550898
19,Brisbane,Australia,-27.48333333333333,153.13333333333333,-27.417,153.067,945780.0,99999.0,1.14861798222,2208.305,3.8412722059446027
20,Bristol,England,51.46666666666667,-2.583333333333333,51.383,-2.719,37243.0,99999.0,1.89047555068,235.375,4.487235681929628
21,Brussels,Belgium,50.86666666666667,4.366666666666666,50.8,4.35,64470.0,99999.0,2.2612298646099998,8671.658000000001,8.90506741268906
22,Bucharest,Romania,44.41666666666666,26.11666666666667,44.417,26.1,154220.0,99999.0,2.4157553683099997,8773.603000000001,9.525872944268352
23,Budapest,Hungary,47.5,19.08333333333333,47.433,19.183,128430.0,99999.0,2.63331298998,2683.057,9.029081814377676
