No.,city,country,latitude,longitude,latitude of nearest station,longitude of nearest station,USAF,WBAN,R,pop,R_index
49,Helsinki,Finland,60.16666666666666,25.0,60.2,24.967,29980.0,99999.0,3.15516426616,3220.401,11.068457562853705
50,Hobart,Tasmania,-42.86666666666667,147.31666666666666,-42.9,147.233,959790.0,99999.0,1.54804061875,0.4202469,0.2358654286407129
51,Hong Kong,China,22.33333333333333,114.18333333333334,22.4,114.2,450390.0,99999.0,1.2311446448999999,12119.65,5.027411057116599
52,Iquique,Chile,-20.166666666666668,-70.11666666666666,-20.535,-70.181,854180.0,99999.0,1.7310402985799997,103.3251,3.493912367747727
53,Irkutsk,Russia,52.5,104.33333333333331,52.268,104.389,307100.0,99999.0,2.76351088782,499.1978,7.459107689224008
54,Jakarta,Indonesia,-6.2666666666666675,106.8,-6.183,106.833,967450.0,99999.0,1.1179775963299998,18962.52,4.78261754952087
55,Johannesburg,South Africa,-26.2,28.066666666666666,-26.15,28.0,683610.0,99999.0,2.20225954212,2322.333,7.413051084979217
56,Kingston,Jamaica,17.983333333333334,-76.81666666666666,17.936,-76.788,783970.0,99999.0,1.35612245843,1341.31,4.241751463494879
57,Kinshasa,Congo,-4.3,15.283333333333333,-4.317,15.317,642110.0,99999.0,1.52453297633,25125.69,6.708151337252357
58,Kuala Lumpur,Malaysia,3.1333333333333333,101.7,3.131,101.549,486470.0,99999.0,0.946966330632,5398.286,3.5343968416091553
59,La Paz,Bolivia,-16.45,-68.36666666666666,-16.512999999999998,-68.192,852010.0,99999.0,1.87549294912,2954.519,6.509149137646007
60,Leeds,England,53.75,-1.5,53.86600000000001,-1.661,33463.0,99999.0,2.33247190256,1334.547,7.29051220530759
61,Lima,Peru,-12.0,-77.03333333333333,-12.022,-77.11399999999998,846280.0,99999.0,1.23690928712,9720.381,4.9324577535717316
62,Lisbon,Portugal,38.73333333333333,-9.15,38.717,-9.15,85350.0,99999.0,1.7632535390000001,10569.0,7.095464462571199
63,Liverpool,England,53.41666666666666,-3.0,53.334,-2.85,33233.0,99999.0,2.45334839568,2435.034,8.308714152358538
64,London,England,51.53333333333333,-0.08333333333333333,51.5,-0.117,37700.0,99999.0,2.56388548626,11821.71,10.441980100498284
65,Lyons,France,45.75,4.833333333333333,45.727,4.944,74800.0,99999.0,2.19121436253,1924.677,7.197226415856845
66,Madrid,Spain,40.43333333333333,-3.7,40.45,-3.717,82200.0,99999.0,2.5314246741099997,6176.469,9.596151423640269
67,Manchester,England,53.5,-2.25,53.354,-2.275,33340.0,99999.0,2.56611286079,694.0719,7.29296904458645
68,Manila,Philippines,14.583333333333336,120.95,14.583,120.983,984250.0,99999.0,1.4858209266999998,23782.0,6.502348548394804
69,Marseilles,France,43.33333333333334,5.333333333333333,43.43600000000001,5.214,76500.0,99999.0,1.9384200673199998,1277.097,6.0218256402876085
70,Mazatlan,Mexico,23.2,-106.41666666666669,23.2,-106.417,764580.0,99999.0,1.5641194244799999,5566.43,5.858651375803484
71,Mecca,Saudi Arabia,21.48333333333333,39.75,21.333,39.967,410320.0,99999.0,2.27868597367,259.1088,5.50337992640505
72,Melbourne,Australia,-37.78333333333333,144.96666666666667,-37.833,144.983,959360.0,99999.0,1.5632918490799999,4896.222,5.768468433074414
73,Mexico City,Mexico,19.433333333333334,-99.11666666666666,19.436,-99.072,766793.0,99999.0,2.58909013075,9862.589,10.340916516502352
74,Milan,Italy,45.45,9.166666666666666,45.445,9.277,160800.0,99999.0,2.10164357304,1451.524,6.645656146234652
75,Montevideo,Uruguay,-34.88333333333333,-56.16666666666666,-34.85,-56.2,865850.0,99999.0,1.2623649076799999,6981.874,4.852573885119671
76,Moscow,Russia,55.75,37.6,55.833,37.617,276120.0,99999.0,2.53142013317,12686.32,10.387353162994613
77,Munich,Germany,48.13333333333333,11.583333333333336,48.354,11.786,108660.0,99999.0,2.38684018428,350.6331,6.077109326709407
78,Nagasaki,Japan,32.8,129.95,32.733000000000004,129.86700000000002,478170.0,99999.0,2.0773913825,999.5261,6.232648669904839
79,Nagoya,Japan,35.11666666666667,136.93333333333334,35.167,136.967,476360.0,99999.0,2.01842272028,7260.699,7.793207314125682
80,Nairobi,Kenya,-1.4166666666666667,36.91666666666666,-1.319,36.928,637400.0,99999.0,1.53114901382,2135.633,5.09831270125175
81,Nanjing (Nanking),China,32.05,118.88333333333334,31.742,118.862,582380.0,99999.0,1.64450638189,1032.178,4.95683027021056
82,Naples,Italy,40.833333333333336,14.25,40.9,14.3,162890.0,34113.0,1.79745383441,3656.205,6.404596380574653
83,New Delhi,India,28.58333333333333,77.2,28.585,77.206,421820.0,99999.0,1.72877591783,4132.13,6.251736160468936
84,Newcastle-on-Tyne,England,54.96666666666667,-1.6166666666666667,55.038,-1.692,32433.0,99999.0,2.47436577264,1251.653,7.6651664584917905
85,Odessa,Ukraine,46.45,30.8,46.427,30.676,338370.0,99999.0,2.45025912562,7682.388000000001,9.520611120485261
