lat,lon,R-value
42.0,50.8,1.79786228722
-124.05,44.583,1.82299087677
21.133,45.383,1.66505484805
-47.467,-5.55,1.82710574662
15.433,58.65,1.8002939278
-93.203,39.096,1.67465095048
-52.389,-15.861,1.90568919717
108.083,60.05,1.89533032344
-97.65,38.8,1.81608188731
-2.033,43.3,1.75062158037
12.28,57.663,1.81113066526
-66.967,-0.117,1.63678597024
38.683,58.1,1.97443239455
73.311,54.967,1.89108762062
16.267,47.967,1.93289325223
86.5,27.3,1.77767421817
-101.371,37.163,1.78477236408
13.583,30.383,1.91984468342
-88.133,43.417,1.68830367604
-6.473,6.793,1.60897970254
-113.014,36.96,2.11132703167
-82.463,40.023,1.73263135231
48.006,46.283,1.96038048839
-92.804,46.419,1.94675735048
76.65,10.767,1.5829855018
-107.899,38.506,2.13335502335
-81.95,34.917,1.75826068718
-140.946,-18.075,1.78311593843
-77.817,0.6,1.88226437743
91.617,55.383,1.90198982218
22.466,39.65,1.8287265555
150.133,-36.217,2.10502740741
6.117,59.05,1.89596662376
-43.867,-16.717,1.9532973593
12.0,60.183,1.91075904986
-80.823,36.766,1.76217042398
-122.861,45.773,1.97457914159
-100.581,47.967,1.99669745184
-83.277,30.783,1.63104366255
11.326,46.46,2.05809386255
-41.35,-21.717,1.78696433257
12.417,65.817,1.93407326526
-58.536,-34.822,1.90641443973
-125.767,49.083,1.88136565193
-97.581,33.254,1.64916207549
-0.006,43.179,1.8556815235
137.817,35.517,1.76823724021
-96.917,19.55,1.74876795666
146.067,-34.25,1.87403365967
6.817,44.933,2.0081414736
100.75,13.517,1.57513846926
-100.001,42.577,1.79441822646
-114.036,40.721,2.11906606537
-104.688,38.81,2.06057106041
-119.771,39.484,2.09827413695
23.117,44.483,1.82017569568
22.886,47.703,1.68843799515
-83.749,42.967,1.80397670916
153.183,-25.933,2.1212307838
128.5,58.633,1.99118430572
103.967,63.583,1.97224964167
24.017,-30.667,2.3430132639
-65.1,-40.783,2.24851340343
-78.834,40.316,1.72188638096
-38.3,-7.95,1.84861907028
150.783,-33.6,2.02684065407
32.573,-25.921,1.8444722026
9.35,47.25,1.92398957393
147.083,-41.733,1.82871312265
-90.409,31.606,1.62729033114
-93.317,44.333,1.76822605541
142.583,44.933,1.7649087675
119.733,53.75,1.9070107007
-83.2,30.967,1.63579305384
6.333,46.517,1.91399689095
36.75,56.35,1.68819889214
-122.872,42.381,1.953006501
16.2,51.2,1.87513131001
-97.632,48.784,1.8595306339
44.717,32.55,1.94588454652
7.35,45.733,2.0187391522
1.95,46.183,1.8350031619
52.583,58.133,2.04184923261
10.3,13.983,1.83824992029
-165.583,61.533,1.92623969012
24.517,47.15,1.71725958966
-80.215,41.626,1.66170270623
116.667,-32.667,2.0442759956
37.717,10.35,1.8275331874
-0.418,51.553,1.97828622094
23.317,46.533,1.77976549819
14.917,37.4,1.79664288062
-162.764,66.069,1.99986699088
-99.324,31.178,1.76404473046
35.767,-16.1,1.76502241384
17.1,-22.567,2.3268559839
-37.267,-7.017,1.62308845599
-73.969,40.779,1.78694243721
-74.781,10.89,1.53250559486
-111.733,49.867,1.8752036507
46.017,39.533,1.92009967976
-61.783,50.183,1.82941088281
-67.076,-17.963,2.41513270059
78.233,59.217,2.04297114068
8.617,46.65,1.96636316568
78.667,54.7,2.03535441922
29.25,69.15,2.11083347676
5.883,52.7,1.88634443297
-83.781,15.261,1.55709570929
-84.787,47.967,1.70782483333
128.717,37.683,1.84706764518
30.582,39.784,1.81187628634
-52.1,-32.033,1.77792349322
80.797,16.53,1.61986840747
82.2,51.15,2.12538028081
121.917,48.767,1.87165321557
-42.15,-6.967,1.76438892652
-73.102,40.794,1.67455707192
-92.239,34.727,1.66545763843
-123.117,50.15,1.93264064961
-4.75,41.633,1.95392187788
-13.219,27.152,1.8023956022
22.267,48.633,1.76672207462
-54.487,-25.596,1.77041956445
26.633,-32.783,2.09116242031
25.917,56.517,2.53608320852
54.75,57.083,2.05041471481
25.3,46.3,1.71901276256
15.483,67.167,1.95494920883
92.783,26.617,1.54675984827
46.417,40.717,1.87097300627
-102.655,46.014,2.00337410104
23.067,69.017,2.12174947691
24.35,44.433,1.76369647226
-83.813,45.407,1.74519100349
59.217,35.267,2.11410166538
-84.15,49.733,1.76133132962
91.917,26.65,1.54057373532
116.15,-34.25,1.96792532296
29.701,37.786,1.91719828036
-58.228,-26.213,1.7895222112
76.917,9.0,1.51488854804
78.583,20.667,1.66705044387
9.406,41.924,1.93852456638
8.2,46.85,1.85442106599
31.1,70.367,1.95265623637
-111.853,41.787,1.98196973804
8.317,46.5,2.02426066625
-102.175,42.806,1.8705745488
4.15,49.217,1.86853991222
106.833,-6.183,1.61129086345
-38.5,-13.0,1.57538191291
-6.817,54.717,1.79129629447
127.45,36.633,1.80421112486
0.5,40.817,1.82338987522
46.433,39.2,1.73966358886
-70.181,-20.535,1.95441199754
-99.35,49.9,1.8936613023
15.017,68.583,1.93470088492
5.874,36.795,1.81419511398
81.05,40.5,2.08100612221
29.383,-28.367,2.27144269505
-149.607,-17.554,1.75102771425
21.633,65.817,1.89971323565
112.9,42.4,1.87510404247
18.716,64.548,2.00820387027
78.25,43.317,2.09556274384
26.5,-33.283,2.10513895686
34.7,59.5,2.01099522618
14.15,62.5,2.04219327247
-83.105,29.633,1.62822753938
