lat,lon,R-value
-124.05,44.583,1.8034487134980086
21.133,45.383,1.8299096823652443
-47.467,-5.55,1.7644235957017715
15.433,58.65,1.8224670383796235
-93.203,39.096,1.8240415230891658
-52.389,-15.861,1.8511534802857366
108.083,60.05,1.9003562691648432
-97.65,38.8,1.810242255690955
-2.033,43.3,1.6855401485177945
12.28,57.663,1.871041268371231
-66.967,-0.117,1.609771901558204
38.683,58.1,2.0943490073778555
73.311,54.967,2.070922317314231
16.267,47.967,2.02823481480383
86.5,27.3,1.7776742181711724
-101.371,37.163,1.8550986852982365
13.583,30.383,1.7514219813995466
-88.133,43.417,1.7386246931244242
-6.473,6.793,1.584703138194259
-113.014,36.96,2.099852793156764
-82.463,40.023,1.7932188942726306
48.006,46.283,1.990834787167445
-92.804,46.419,1.9079839217154277
76.65,10.767,1.544462831379097
-107.899,38.506,2.139459180362717
-81.95,34.917,1.654046811319821
-140.946,-18.075,1.6322024787054523
-77.817,0.6,1.7797220964552656
91.617,55.383,1.7906262595042102
22.466,39.65,1.7852170113219379
150.133,-36.217,2.0305464146070387
6.117,59.05,1.8805912168385945
-43.867,-16.717,1.9513395223794132
12.0,60.183,1.9118753548117633
-80.823,36.766,1.8069767145465914
-122.861,45.773,1.8814640732581585
-100.581,47.967,1.9460470301270274
-83.277,30.783,1.6203164067998266
11.326,46.46,1.90358183598762
-41.35,-21.717,1.8230018655563218
12.417,65.817,1.883948441583066
-58.536,-34.822,1.8586288700439053
-125.767,49.083,1.7480659628331925
-97.581,33.254,1.7949273453462378
-0.006,43.179,1.878144850632974
137.817,35.517,1.7308940097405197
-96.917,19.55,1.6819155735073492
146.067,-34.25,1.9394208842539036
6.817,44.933,1.8461346043471591
100.75,13.517,1.5662424195798772
-100.001,42.577,1.7878730700800802
-114.036,40.721,2.0811878328832334
-104.688,38.81,2.104851880122883
-119.771,39.484,2.0416145793131526
23.117,44.483,1.7991071295383434
22.886,47.703,1.7607263971189382
-83.749,42.967,2.0167888449385534
153.183,-25.933,1.9623358911936308
128.5,58.633,1.953150918133101
103.967,63.583,1.9761886117281433
24.017,-30.667,2.3421531788189247
-65.1,-40.783,2.1744324787718816
-78.834,40.316,1.933708557278951
-38.3,-7.95,1.8056502163349344
150.783,-33.6,1.9743274163486517
32.573,-25.921,1.796542637665409
9.35,47.25,2.2528468767710876
147.083,-41.733,1.9486623322087617
-90.409,31.606,1.598302467718317
-93.317,44.333,1.8501150243227675
142.583,44.933,1.7813872162468416
119.733,53.75,1.9228844878058684
-83.2,30.967,1.6080350349672157
6.333,46.517,1.9134750940389438
36.75,56.35,1.6881988921449136
-122.872,42.381,1.977564666443712
16.2,51.2,1.77200522867906
-97.632,48.784,1.9460253862347963
44.717,32.55,1.9810310601117247
7.35,45.733,1.8645966988042213
1.95,46.183,1.8405136768688846
52.583,58.133,2.0300729574622305
10.3,13.983,1.8892560625680392
-165.583,61.533,1.9231147442267267
24.517,47.15,1.7736501717540132
-80.215,41.626,1.9351749001988061
116.667,-32.667,1.9393480404575878
37.717,10.35,1.881825172358667
-0.418,51.553,1.9173363867005677
23.317,46.533,1.778090405217705
14.917,37.4,1.7064124617163905
-162.764,66.069,2.1610453220792976
-99.324,31.178,1.7750561111503476
35.767,-16.1,1.8121545006102693
17.1,-22.567,2.3383537319497947
-37.267,-7.017,1.6230884559891094
-73.969,40.779,1.964739580283318
-74.781,10.89,1.6170535019424601
-111.733,49.867,1.8789577631910745
46.017,39.533,2.0184594919363112
-61.783,50.183,1.7822428738601679
-67.076,-17.963,2.3836819992763845
78.233,59.217,2.005559662643581
8.617,46.65,2.0009005658069494
78.667,54.7,1.9275504794383165
29.25,69.15,1.9805221625099056
5.883,52.7,1.8989818274564594
-83.781,15.261,1.6053533229664827
-84.787,47.967,1.8175234982109822
128.717,37.683,1.6929073110764576
30.582,39.784,1.8846412374653796
-52.1,-32.033,1.832982103353888
80.797,16.53,1.6199200765449424
82.2,51.15,2.0372960333571584
121.917,48.767,1.9517453010304684
-42.15,-6.967,1.7643889265154487
-73.102,40.794,1.9343402742258906
-92.239,34.727,1.7602445732062637
-123.117,50.15,1.8080444079523286
-4.75,41.633,1.9870655880109191
-13.219,27.152,1.8548437416306933
22.267,48.633,1.8308407908749142
-54.487,-25.596,1.8705306439744962
26.633,-32.783,2.289395221177106
25.917,56.517,2.5360832085173866
54.75,57.083,2.065438935384651
25.3,46.3,1.8024742978263077
15.483,67.167,1.9420608489279756
92.783,26.617,1.537125077148699
46.417,40.717,1.902568188123409
-102.655,46.014,1.9499666514722689
23.067,69.017,1.922534614324737
24.35,44.433,1.7874149919466034
-83.813,45.407,1.96679584720858
59.217,35.267,2.1610135457635393
-84.15,49.733,1.9106840941588452
