lat,lon,R-value
21.133,45.383,2.83039239229
-47.467,-5.55,1.17454457235
15.433,58.65,1.93199749971
-93.203,39.096,1.90255170227
-52.389,-15.861,1.22256937072
108.083,60.05,2.93214536119
-97.65,38.8,2.13579548652
-2.033,43.3,1.66155535657
12.28,57.663,2.15523530807
-66.967,-0.117,1.18792475603
38.683,58.1,2.82030549112
73.311,54.967,2.35080472857
16.267,47.967,2.83658530198
86.5,27.3,2.26371798011
-101.371,37.163,2.61704194571
13.583,30.383,1.68007667489
-88.133,43.417,1.41676925003
-6.473,6.793,1.10819087415
-113.014,36.96,2.5851573928
-82.463,40.023,1.69907424898
48.006,46.283,3.24411893006
-92.804,46.419,2.56398072925
76.65,10.767,1.27936895067
-107.899,38.506,3.09895969973
-81.95,34.917,1.80612959626
-140.946,-18.075,1.15902228854
-77.817,0.6,1.51666734336
91.617,55.383,2.31783496366
22.466,39.65,2.21522950117
150.133,-36.217,2.01003039447
6.117,59.05,2.16919538754
-43.867,-16.717,1.3609774407
12.0,60.183,2.36344456167
-80.823,36.766,1.73662737751
-122.861,45.773,2.18925036328
-100.581,47.967,1.96123151549
-83.277,30.783,1.52073571359
11.326,46.46,2.49993657927
-41.35,-21.717,1.24761462111
12.417,65.817,1.84039047224
-58.536,-34.822,1.95262557365
-125.767,49.083,1.9230672264
-97.581,33.254,1.64034280879
-0.006,43.179,1.64855116215
137.817,35.517,2.80855531931
-96.917,19.55,1.27163087748
146.067,-34.25,1.77937801637
6.817,44.933,2.52349273494
100.75,13.517,1.14038910739
-100.001,42.577,2.45583511161
-114.036,40.721,2.49156418688
-104.688,38.81,3.06494662435
-119.771,39.484,2.53954395944
23.117,44.483,2.99239536492
22.886,47.703,2.70397052239
-83.749,42.967,1.72812364807
153.183,-25.933,1.30938777611
128.5,58.633,2.78541209149
103.967,63.583,2.92290896057
24.017,-30.667,2.44636388399
-65.1,-40.783,2.91534118272
-78.834,40.316,1.69609926751
-38.3,-7.95,1.48020325134
150.783,-33.6,1.51560317797
32.573,-25.921,1.41953996873
9.35,47.25,2.62367040271
147.083,-41.733,1.80291922072
-90.409,31.606,0.948094431355
-93.317,44.333,1.88084981097
142.583,44.933,2.09718578285
119.733,53.75,2.75339835466
-83.2,30.967,1.46128122574
6.333,46.517,2.46055688232
36.75,56.35,1.96088417639
-122.872,42.381,2.21541624789
16.2,51.2,2.5472213976
-97.632,48.784,1.94979664254
44.717,32.55,2.15338392924
7.35,45.733,2.39247136665
1.95,46.183,2.17517070704
52.583,58.133,2.95856846631
10.3,13.983,2.15125073425
-165.583,61.533,2.75408853059
24.517,47.15,2.92266483032
-80.215,41.626,1.52653601632
116.667,-32.667,2.33008098216
37.717,10.35,2.27856853947
-0.418,51.553,2.13591845666
23.317,46.533,3.21495469055
14.917,37.4,1.4162183477
-162.764,66.069,2.70967887441
-99.324,31.178,1.60445943977
35.767,-16.1,1.3759123148
17.1,-22.567,2.66994041623
-37.267,-7.017,1.14394390996
-73.969,40.779,2.15511471904
-74.781,10.89,1.06295707701
-111.733,49.867,2.35385109676
46.017,39.533,2.0851540288
-61.783,50.183,2.82774037163
-67.076,-17.963,2.30488466062
78.233,59.217,2.24758156255
8.617,46.65,3.10090579138
78.667,54.7,2.19179943061
29.25,69.15,2.20452448085
5.883,52.7,1.90923506964
-83.781,15.261,1.19537590752
-84.787,47.967,2.60183180648
128.717,37.683,2.43844169507
30.582,39.784,2.14392299539
-52.1,-32.033,2.06605460181
80.797,16.53,1.27184745107
82.2,51.15,2.50235906909
121.917,48.767,3.23334914178
-42.15,-6.967,1.22757992088
-73.102,40.794,1.81648480342
-92.239,34.727,1.04109189213
-123.117,50.15,2.20699718465
-4.75,41.633,1.70066156399
-13.219,27.152,1.58420972661
22.267,48.633,2.66464712967
-54.487,-25.596,1.28177711736
26.633,-32.783,2.05782865494
25.917,56.517,3.14692008984
54.75,57.083,3.11404686809
25.3,46.3,3.05073492333
15.483,67.167,2.23188641648
92.783,26.617,1.70857758377
46.417,40.717,1.84299694543
