lat,lon,R-value
-124.29,42.074,1.82457899534
-77.856,-6.202,1.90193358874
42.0,50.8,2.30202091559
-124.05,44.583,1.85003590899
21.133,45.383,1.98334813569
-47.467,-5.55,1.71105766187
15.433,58.65,1.91655754877
-93.203,39.096,1.90502428783
-52.389,-15.861,1.77525059343
108.083,60.05,2.25951510673
-97.65,38.8,1.98688365146
-2.033,43.3,1.73332600349
12.28,57.663,1.95925457793
-66.967,-0.117,1.60036840031
38.683,58.1,1.8694017265
16.267,47.967,1.88900473595
86.5,27.3,1.86285459746
-101.371,37.163,2.18323119958
13.583,30.383,1.75737324247
-88.133,43.417,2.13529763993
-6.473,6.793,1.57504869979
-113.014,36.96,2.27865885223
-82.463,40.023,2.09483480729
48.006,46.283,2.06567418279
-92.804,46.419,2.48393426576
76.65,10.767,1.60090393722
-107.899,38.506,2.07000181716
-81.95,34.917,2.17502983703
-140.946,-18.075,1.65815303206
-77.817,0.6,1.81887052702
91.617,55.383,2.06422736632
22.466,39.65,1.90224556073
150.133,-36.217,2.03288805615
6.117,59.05,2.27940955272
-43.867,-16.717,1.91215351122
12.0,60.183,2.08858433896
-80.823,36.766,2.27121507464
-122.861,45.773,1.85175332699
-100.581,47.967,2.35810827482
-83.277,30.783,2.07076811003
11.326,46.46,1.94092698125
-41.35,-21.717,1.7894450412
12.417,65.817,2.27967844199
-58.536,-34.822,2.03606644821
-125.767,49.083,1.87579902381
-97.581,33.254,2.03627268401
-0.006,43.179,1.82580766869
137.817,35.517,2.0471385093
-96.917,19.55,1.75603514311
146.067,-34.25,1.98449961739
6.817,44.933,1.82990763082
100.75,13.517,1.55817660137
-100.001,42.577,2.21865990172
-114.036,40.721,2.2158806432
-104.688,38.81,2.07911861288
-119.771,39.484,2.34591940441
23.117,44.483,2.06680975868
22.886,47.703,2.00014991308
-83.749,42.967,2.30910559672
153.183,-25.933,1.82119277397
128.5,58.633,2.24019591663
103.967,63.583,2.35138904481
24.017,-30.667,2.16779518736
-65.1,-40.783,2.17113526355
-78.834,40.316,2.15216118974
-38.3,-7.95,1.7857249714
150.783,-33.6,2.02426495813
32.573,-25.921,1.78736085909
9.35,47.25,2.06435485176
147.083,-41.733,1.90039821651
-90.409,31.606,1.94108755653
-93.317,44.333,2.41906558048
142.583,44.933,1.87922659215
119.733,53.75,2.39405474412
-83.2,30.967,2.12021385983
6.333,46.517,1.85284443517
36.75,56.35,2.1839009041
-122.872,42.381,2.13862301089
16.2,51.2,1.93680604415
-97.632,48.784,2.53218281277
44.717,32.55,2.01656402088
7.35,45.733,1.89006337394
1.95,46.183,1.81949608048
10.3,13.983,2.009516274
-165.583,61.533,2.0014335083
24.517,47.15,2.07000476804
-80.215,41.626,2.05136188192
116.667,-32.667,1.92439539417
37.717,10.35,1.93399656256
-0.418,51.553,2.02377309805
23.317,46.533,2.18818392343
14.917,37.4,1.68936743905
-162.764,66.069,2.08270552469
-99.324,31.178,1.89506214695
35.767,-16.1,1.71887428031
17.1,-22.567,2.10793979777
-37.267,-7.017,1.62308845599
-73.969,40.779,2.17394281243
-74.781,10.89,1.61141080464
-111.733,49.867,2.33409854402
46.017,39.533,2.04389139083
-61.783,50.183,2.13977660121
-67.076,-17.963,2.14803063626
78.233,59.217,2.00212003237
8.617,46.65,2.03709016089
78.667,54.7,2.06909164907
29.25,69.15,2.2750043098
5.883,52.7,1.99218522735
-83.781,15.261,1.57112976887
-84.787,47.967,2.49719212559
128.717,37.683,2.11646601771
30.582,39.784,2.1840582349
