lat,lon,R-value
-47.467,-5.55,1.13981768004
15.433,58.65,2.52129067111
-93.203,39.096,1.86510462737
-52.389,-15.861,1.25995444722
108.083,60.05,2.85841248471
-97.65,38.8,2.51151859439
-2.033,43.3,2.34793549326
12.28,57.663,2.33917448312
-66.967,-0.117,1.03389644289
38.683,58.1,2.56806542032
73.311,54.967,2.58878579616
16.267,47.967,2.50956990295
86.5,27.3,2.36986642262
-101.371,37.163,2.65705275406
13.583,30.383,2.19377736079
-88.133,43.417,1.79174588866
-6.473,6.793,1.14688604929
-113.014,36.96,2.4920644768
-82.463,40.023,1.94399620102
48.006,46.283,2.33474688511
-92.804,46.419,2.72545399444
76.65,10.767,1.38886408372
-107.899,38.506,2.89848711761
-81.95,34.917,2.12104125535
-140.946,-18.075,1.10276468488
-77.817,0.6,1.51666734336
91.617,55.383,2.75958894871
22.466,39.65,1.56206162372
150.133,-36.217,2.29548229928
6.117,59.05,2.14822656424
-43.867,-16.717,1.43103857964
12.0,60.183,2.91369176069
-80.823,36.766,2.4927344824
-122.861,45.773,1.82720735733
-100.581,47.967,2.71954072402
-83.277,30.783,1.72351626794
11.326,46.46,2.55787398998
-41.35,-21.717,1.51394784055
12.417,65.817,2.04779926655
-58.536,-34.822,1.73024965145
-125.767,49.083,2.23409502558
-97.581,33.254,1.58574949182
-0.006,43.179,2.19537113559
137.817,35.517,2.23667163163
-96.917,19.55,1.29942899978
146.067,-34.25,1.71417081161
6.817,44.933,2.28349603365
100.75,13.517,1.07246909931
-100.001,42.577,2.75066839875
-114.036,40.721,2.79848531709
-104.688,38.81,2.68331698262
-119.771,39.484,2.62027146975
23.117,44.483,2.29862500998
22.886,47.703,2.52649966702
-83.749,42.967,1.84626119859
153.183,-25.933,1.18207467701
128.5,58.633,2.73605994272
103.967,63.583,3.05789225836
24.017,-30.667,1.80784479558
-65.1,-40.783,2.61727974041
-78.834,40.316,2.19209723458
-38.3,-7.95,1.24870165546
150.783,-33.6,2.1109686213
32.573,-25.921,1.14171518361
9.35,47.25,3.18502071982
147.083,-41.733,2.02807208119
-90.409,31.606,1.25948261273
-93.317,44.333,2.19637743462
142.583,44.933,2.00644421263
119.733,53.75,2.93897886467
-83.2,30.967,1.71376873003
6.333,46.517,2.43124073322
36.75,56.35,1.96088417639
-122.872,42.381,1.90974104328
16.2,51.2,2.3830722258
-97.632,48.784,2.43489752206
44.717,32.55,2.21839975369
7.35,45.733,2.40009643994
1.95,46.183,2.19685475275
52.583,58.133,2.69454267857
10.3,13.983,1.84217799306
-165.583,61.533,1.71266952167
24.517,47.15,2.63176683695
-80.215,41.626,2.09781041602
116.667,-32.667,2.31437567256
37.717,10.35,1.84519373271
-0.418,51.553,2.13107008121
23.317,46.533,2.76387880846
14.917,37.4,1.56737973233
-162.764,66.069,1.91547666329
-99.324,31.178,1.67365053862
35.767,-16.1,1.3759123148
17.1,-22.567,1.89252201152
-37.267,-7.017,1.14394390996
-73.969,40.779,1.9134770646
-74.781,10.89,1.11555507794
-111.733,49.867,2.20625267151
46.017,39.533,2.06260224799
-61.783,50.183,2.29614573845
-67.076,-17.963,2.34741997642
78.233,59.217,2.86802227974
8.617,46.65,2.69701240813
78.667,54.7,2.59848575118
29.25,69.15,2.94304144919
5.883,52.7,2.30047612792
-83.781,15.261,1.21784496591
-84.787,47.967,1.82796668321
128.717,37.683,2.29133735454
30.582,39.784,1.98615596566
-52.1,-32.033,1.69443383836
80.797,16.53,1.34145226832
82.2,51.15,2.42741883029
121.917,48.767,3.46453140359
-42.15,-6.967,1.03984364919
-73.102,40.794,1.75458387934
-92.239,34.727,1.63624393282
-123.117,50.15,2.31692045426
-4.75,41.633,2.198021575
-13.219,27.152,1.47837873544
22.267,48.633,2.83053606486
-54.487,-25.596,1.59234374252
26.633,-32.783,1.75483447044
25.917,56.517,3.14692008984
54.75,57.083,2.72861142198
25.3,46.3,2.57515473332
15.483,67.167,2.31246147077
92.783,26.617,1.69348523103
46.417,40.717,1.51786807295
-102.655,46.014,2.46353501491
23.067,69.017,2.94085910179
24.35,44.433,2.23363621082
-83.813,45.407,2.06975901496
59.217,35.267,2.00778566557
-84.15,49.733,2.14561745676
91.917,26.65,1.62978190011
116.15,-34.25,2.04983304435
29.701,37.786,2.21952223897
-58.228,-26.213,1.56745955417
76.917,9.0,1.22726699375
78.583,20.667,1.65774901292
9.406,41.924,2.44188063207
8.2,46.85,2.12031962591
31.1,70.367,2.19365599898
-111.853,41.787,2.70875608226
8.317,46.5,2.56969340768
-102.175,42.806,2.62627553657
4.15,49.217,2.15704309515
106.833,-6.183,1.1099299179
-38.5,-13.0,1.15843240812
-6.817,54.717,1.8178245639
127.45,36.633,2.890065467
0.5,40.817,1.7249614346
46.433,39.2,1.50505116714
-70.181,-20.535,1.67710943026
-99.35,49.9,3.01828655414
15.017,68.583,2.30540013189
5.874,36.795,1.79018526077
81.05,40.5,2.71550391349
29.383,-28.367,1.58970716261
-149.607,-17.554,1.25151171593
21.633,65.817,2.98936159331
112.9,42.4,3.47694597371
18.716,64.548,2.92588818576
78.25,43.317,2.41679180242
26.5,-33.283,1.80899637588
34.7,59.5,2.31105729233
14.15,62.5,2.78022464325
-83.105,29.633,1.57871709049
91.586,26.106,1.78912702338
-43.133,-11.083,1.31948496528
72.367,27.133,2.05573704999
125.567,-18.183,1.94122729175
-112.1,47.333,2.56687539236
-111.1,52.817,3.37524800117
18.99,63.408,2.87825658737
8.291,40.632,1.93250153231
-111.678,54.131,2.94424871211
111.673,-2.705,1.0335926266
99.533,14.017,1.46571489891
8.083,46.433,3.16805871308
-135.083,60.717,2.56201336185
-101.581,47.29,1.96399369918
-90.527,14.583,1.44195631504
-22.889,16.137,1.58878094378
97.167,31.15,2.87264545222
