lat,lon,R-value
-124.05,44.583,1.86204955951
21.133,45.383,1.99350806659
-47.467,-5.55,1.68845088186
15.433,58.65,2.05115815282
-93.203,39.096,1.98896291668
-52.389,-15.861,1.81092178253
108.083,60.05,2.14745800014
-97.65,38.8,2.17360684666
-2.033,43.3,1.86514339774
12.28,57.663,2.19186552738
-66.967,-0.117,1.55867815649
38.683,58.1,1.79986865868
73.311,54.967,2.26645425755
16.267,47.967,2.03786130358
86.5,27.3,1.82539777025
-101.371,37.163,2.09983148093
13.583,30.383,1.73586248095
-88.133,43.417,2.33027971098
-6.473,6.793,1.60015137386
-113.014,36.96,2.25135352059
-82.463,40.023,2.0996869221
48.006,46.283,1.94821320369
-92.804,46.419,2.18497242325
76.65,10.767,1.6018337838
-107.899,38.506,2.4156792487
-81.95,34.917,1.71394212403
-140.946,-18.075,1.60622811885
-77.817,0.6,1.88102359969
91.617,55.383,2.07843230656
22.466,39.65,2.07773073885
150.133,-36.217,1.96774742208
6.117,59.05,2.29641423406
-43.867,-16.717,1.87350302039
12.0,60.183,2.26871995652
-80.823,36.766,1.82682074212
-122.861,45.773,2.07628780709
-100.581,47.967,1.94114284675
-83.277,30.783,1.69584955803
11.326,46.46,1.97801294594
-41.35,-21.717,1.75813773384
12.417,65.817,2.03596353993
-58.536,-34.822,1.86222140858
-125.767,49.083,1.96410563474
-97.581,33.254,2.08926366774
-0.006,43.179,1.96524053893
137.817,35.517,1.97899217251
-96.917,19.55,1.74367237416
146.067,-34.25,1.92499339986
6.817,44.933,2.02407247366
100.75,13.517,1.57010837427
-100.001,42.577,2.07289066912
-114.036,40.721,2.33724547318
-104.688,38.81,2.36946252395
-119.771,39.484,2.33160388468
23.117,44.483,2.09164513359
22.886,47.703,1.94088261092
-83.749,42.967,2.42341061822
153.183,-25.933,1.79573729193
128.5,58.633,2.25735806378
103.967,63.583,2.04513073029
24.017,-30.667,2.1479183432
-65.1,-40.783,2.0615582997
-78.834,40.316,2.08472270924
-38.3,-7.95,1.75089708662
150.783,-33.6,1.88159305881
32.573,-25.921,1.7181508613
9.35,47.25,1.96668492788
147.083,-41.733,1.88599925245
-90.409,31.606,1.77912388408
-93.317,44.333,2.0750987338
142.583,44.933,2.15984684232
119.733,53.75,2.33805008361
-83.2,30.967,1.69098516877
6.333,46.517,1.79957115287
36.75,56.35,1.89324559628
-122.872,42.381,2.09899829591
16.2,51.2,2.08213137132
-97.632,48.784,2.13340105807
44.717,32.55,1.99807387437
7.35,45.733,1.98371677113
1.95,46.183,1.83262688162
52.583,58.133,2.13929589236
10.3,13.983,1.98541069236
-165.583,61.533,2.19619314404
24.517,47.15,1.97463761217
-80.215,41.626,2.35378013561
116.667,-32.667,1.9020088604
37.717,10.35,1.97171039538
-0.418,51.553,2.12289483287
23.317,46.533,2.15334612581
14.917,37.4,1.74360980622
-162.764,66.069,2.19444313352
-99.324,31.178,2.10282033491
35.767,-16.1,1.81855741383
17.1,-22.567,2.19807783708
-37.267,-7.017,1.62308845599
-73.969,40.779,2.25813376047
-74.781,10.89,1.59127829713
-111.733,49.867,2.06764992475
46.017,39.533,1.98000512684
-61.783,50.183,2.23025663669
-67.076,-17.963,2.14803063626
78.233,59.217,2.25696176843
8.617,46.65,2.08142669995
78.667,54.7,2.23496397687
29.25,69.15,2.22902928132
5.883,52.7,2.13501025695
-83.781,15.261,1.62143676792
-84.787,47.967,2.41497681099
128.717,37.683,1.86560200103
30.582,39.784,1.95603236444
-52.1,-32.033,1.83592276371
80.797,16.53,1.66276712507
82.2,51.15,2.11239081928
121.917,48.767,2.29223518626
-42.15,-6.967,1.76438892652
-73.102,40.794,2.04819815957
-92.239,34.727,1.94724101624
-123.117,50.15,2.06757669849
-4.75,41.633,1.99441959961
-13.219,27.152,1.85637425164
22.267,48.633,1.98883041882
-54.487,-25.596,1.76115137893
26.633,-32.783,1.88550666419
25.917,56.517,2.53608320852
54.75,57.083,2.21262402952
25.3,46.3,1.98250416082
15.483,67.167,2.23082158792
92.783,26.617,1.61704494141
46.417,40.717,1.91487246372
-102.655,46.014,2.01424754761
23.067,69.017,2.27859135302
24.35,44.433,2.00540575039
-83.813,45.407,2.34511756004
59.217,35.267,2.09196435672
-84.15,49.733,2.36054382217
91.917,26.65,1.66203135794
116.15,-34.25,1.88351118949
29.701,37.786,1.90978687241
-58.228,-26.213,1.66545331692
76.917,9.0,1.60558223384
78.583,20.667,1.82324205004
9.406,41.924,1.80804988961
8.2,46.85,1.75482889455
31.1,70.367,2.07290040487
-111.853,41.787,2.2620333227
8.317,46.5,1.93499739702
-102.175,42.806,2.1221869412
4.15,49.217,2.01350952594
106.833,-6.183,1.59129692673
-38.5,-13.0,1.62506929971
-6.817,54.717,2.05047206097
127.45,36.633,1.83181001656
0.5,40.817,1.78474872587
46.433,39.2,1.87384813187
-70.181,-20.535,1.88862879961
-99.35,49.9,2.03408781279
15.017,68.583,2.05876278729
5.874,36.795,1.78605909759
81.05,40.5,2.05722308877
29.383,-28.367,1.97359966311
-149.607,-17.554,1.66157709444
21.633,65.817,2.2842898855
