lat,lon,R-value
38.683,58.1,1.8694017265
73.311,54.967,2.10688637375
16.267,47.967,1.91396275621
86.5,27.3,1.86285459746
-101.371,37.163,2.18323119958
13.583,30.383,1.75737324247
-88.133,43.417,2.13529763993
-6.473,6.793,1.57504869979
-113.014,36.96,2.26837949139
-82.463,40.023,2.09483480729
48.006,46.283,2.06567418279
76.65,10.767,1.60090393722
-107.899,38.506,2.07000181716
-81.95,34.917,1.95826838113
-140.946,-18.075,1.63233401878
-77.817,0.6,1.83855140001
91.617,55.383,2.06422736632
22.466,39.65,1.89039123808
150.133,-36.217,2.05560312588
6.117,59.05,2.31780887492
-43.867,-16.717,1.80194202415
12.0,60.183,2.40374503056
-80.823,36.766,2.27121507464
-100.581,47.967,2.35810827482
-83.277,30.783,2.07076811003
11.326,46.46,1.84475004024
-41.35,-21.717,1.68535867406
12.417,65.817,2.10203494703
-58.536,-34.822,1.93116150832
-125.767,49.083,1.87579902381
-97.581,33.254,2.03627268401
-0.006,43.179,1.88133529555
137.817,35.517,2.0471385093
-96.917,19.55,1.65347405625
146.067,-34.25,2.05654093796
6.817,44.933,1.86682216249
100.75,13.517,1.55817660137
-100.001,42.577,2.21865990172
-114.036,40.721,2.2158806432
-104.688,38.81,2.07911861288
-119.771,39.484,2.34591940441
23.117,44.483,2.03465372879
22.886,47.703,1.96885223701
-83.749,42.967,2.30910559672
153.183,-25.933,1.76641513388
128.5,58.633,2.24019591663
103.967,63.583,2.21737648713
24.017,-30.667,2.16779518736
-65.1,-40.783,1.90699527803
-78.834,40.316,2.15216118974
-38.3,-7.95,1.6523252839
150.783,-33.6,1.93136748349
32.573,-25.921,1.78736085909
9.35,47.25,2.04703962118
147.083,-41.733,2.13195040187
-90.409,31.606,1.94108755653
-93.317,44.333,2.41906558048
142.583,44.933,1.87922659215
119.733,53.75,2.39405474412
-83.2,30.967,1.89915885271
6.333,46.517,1.8046530173
36.75,56.35,2.19469391538
-122.872,42.381,2.13862301089
16.2,51.2,1.85012001285
-97.632,48.784,2.53218281277
44.717,32.55,2.01656402088
7.35,45.733,1.89669594991
1.95,46.183,1.83753320096
52.583,58.133,2.05286489381
10.3,13.983,2.009516274
-165.583,61.533,2.0014335083
24.517,47.15,2.02824204562
-80.215,41.626,2.05136188192
116.667,-32.667,1.9401640698
37.717,10.35,1.93399656256
-0.418,51.553,2.25072132591
23.317,46.533,2.10358357845
14.917,37.4,1.72405844936
-162.764,66.069,2.08270552469
-99.324,31.178,1.89506214695
35.767,-16.1,1.71887428031
17.1,-22.567,2.10793979777
-37.267,-7.017,1.62308845599
-73.969,40.779,2.17394281243
-74.781,10.89,1.57292567079
-111.733,49.867,2.33409854402
46.017,39.533,2.04389139083
-61.783,50.183,2.13977660121
-67.076,-17.963,2.14803063626
78.233,59.217,2.00212003237
8.617,46.65,2.03271194397
78.667,54.7,2.06909164907
29.25,69.15,2.15424256906
5.883,52.7,2.24040878962
-83.781,15.261,1.55009923199
-84.787,47.967,2.49719212559
128.717,37.683,2.11646601771
30.582,39.784,2.1073642161
-52.1,-32.033,1.73510249078
80.797,16.53,1.68368636936
82.2,51.15,2.08935442333
121.917,48.767,2.11609376117
-42.15,-6.967,1.76438892652
-73.102,40.794,2.09289260248
-92.239,34.727,2.1035288554
-123.117,50.15,2.13709399505
-4.75,41.633,1.93997697678
-13.219,27.152,1.81960518114
22.267,48.633,2.05083040359
-54.487,-25.596,1.65560231957
26.633,-32.783,2.01983971342
25.917,56.517,2.53608320852
54.75,57.083,1.97873351043
25.3,46.3,2.0285050181
15.483,67.167,2.13492526718
92.783,26.617,1.66770998788
46.417,40.717,2.04822708386
23.067,69.017,2.34717897693
24.35,44.433,1.96428787296
59.217,35.267,2.06568456478
-84.15,49.733,2.50317166616
91.917,26.65,1.66203135794
116.15,-34.25,1.84170605892
29.701,37.786,2.0496546531
-58.228,-26.213,1.58758079036
76.917,9.0,1.56606887934
78.583,20.667,1.81332551189
9.406,41.924,1.87584168286
8.2,46.85,1.80355731919
31.1,70.367,1.97592529555
-111.853,41.787,2.14676005363
8.317,46.5,1.98810918871
-102.175,42.806,2.1519471038
4.15,49.217,2.09635133067
106.833,-6.183,1.56299609553
-38.5,-13.0,1.6037106416
-6.817,54.717,2.23498651577
127.45,36.633,2.01575194259
0.5,40.817,1.94131362875
46.433,39.2,1.78747891633
-70.181,-20.535,1.88870032124
-99.35,49.9,2.51667720535
15.017,68.583,2.08294297791
5.874,36.795,1.94357496096
81.05,40.5,2.13427098718
29.383,-28.367,2.13119751417
-149.607,-17.554,1.68534987757
21.633,65.817,2.38747972651
112.9,42.4,2.32824548425
18.716,64.548,2.40808425285
78.25,43.317,2.01784316631
26.5,-33.283,2.04821587693
34.7,59.5,2.19543290255
14.15,62.5,2.31912990624
-83.105,29.633,1.93109970919
91.586,26.106,1.64203088085
-43.133,-11.083,1.63954683842
72.367,27.133,1.8255369751
125.567,-18.183,2.16605326085
-112.1,47.333,2.21496854491
-111.1,52.817,2.72900250606
18.99,63.408,2.44341419582
8.291,40.632,1.77046720272
-111.678,54.131,2.20514588411
111.673,-2.705,1.57193244507
99.533,14.017,1.58643647724
8.083,46.433,2.07954286459
-135.083,60.717,2.36447339789
-101.581,47.29,2.36008374285
-90.527,14.583,1.71728069486
-22.889,16.137,1.76528888027
97.167,31.15,2.41390314203
-112.767,49.7,2.28732442151
140.883,-21.833,2.20845902378
-70.605,19.406,1.54297097043
46.725,24.722,2.04567793254
-75.379,41.139,2.0981814004
-113.35,53.65,2.17858843644
-85.417,44.283,2.49978668967
15.25,-26.683,1.91970395114
99.55,48.083,2.44725374001
-52.133,-22.65,1.73455495392
30.85,-24.933,1.98379049802
-64.813,17.7,1.66051819119
21.567,53.083,1.88825340179
0.816,45.198,1.87252901495
84.05,21.914,1.77774089045
20.75,41.7,2.26088734725
29.133,-31.95,1.95078289633
120.35,16.083,1.59310847073
-83.874,35.964,1.95860952597
41.686,27.438,2.08051359385
-1.933,49.717,2.08342101159
6.55,61.9,2.07678470357
170.983,-42.717,1.83052711209
89.017,62.467,2.06232963494
26.718,-26.871,2.07854316996
22.867,45.0,1.91841635666
104.76,16.557,1.67980116955
9.561,47.485,1.84441252788
-48.55,-0.717,1.51568509555
-98.254,26.184,1.75875901269
43.45,45.1,1.91789480945
77.283,54.367,2.0428899924
21.817,-30.35,2.18738038051
44.433,39.333,2.09937499104
133.033,59.633,2.24569513
56.25,25.617,1.85452618455
-89.883,46.117,2.39747838471
73.1,31.433,1.87005634226
15.826,53.791,1.88704440266
-72.017,44.567,2.01124513604
36.7,55.383,2.11922810672
26.65,47.733,2.00223662763
166.573,-20.641,1.86922964406
27.9,62.8,2.02709767174
127.067,37.9,1.97817973846
90.533,45.367,2.4655402662
-84.027,40.708,2.17577802437
34.717,-24.05,1.8220495305
91.85,21.817,1.57000646227
26.912,37.69,1.82621649567
73.633,15.867,1.62014358888
-2.85,53.334,2.2324967339
36.815,-1.322,1.78661309188
-88.866,39.834,2.18718018991
-103.083,34.433,1.93344831929
22.046,40.814,1.9415979233
-68.418,-31.571,2.2043652158
117.333,2.85,1.587607619
-76.016,36.399,2.14756699116
100.393,6.933,1.53398016983
141.917,-12.683,1.78972400042
-4.433,58.283,2.08164268015
-120.53,47.034,2.04150072803
-7.4,33.717,1.84383166865
12.2,58.6,2.33199975415
46.171,51.713,1.88838953305
36.283,36.35,1.88591588777
-73.35,49.267,2.3835851851
13.067,56.95,2.37333529669
102.817,16.333,1.69063071767
-35.683,-6.967,1.63759457975
-116.786,34.854,2.20458730632
123.483,41.64,2.11162011974
99.9,19.193,1.64480659775
-106.429,31.636,2.17708293095
-54.967,-20.983,1.75209230367
21.293,37.921,2.01623920153
98.7,3.8,1.57454547809
125.7,38.033,2.0197531958
87.65,55.217,2.15074468864
84.917,56.5,2.07319109189
-0.033,14.033,1.83926299698
-0.508,43.912,1.83623569961
-155.902,59.324,1.93511015066
36.45,9.083,1.74387002466
-70.77,-27.25,1.92359804839
-96.8,44.3,2.3099417969
-79.1,40.633,2.06505464093
-102.898,48.381,2.35585023114
127.499,36.717,1.94106255179
10.564,47.14,2.06063401989
134.9,-12.117,1.70666936443
-45.4,-1.717,1.53065418729
-67.332,-8.777,1.7031079395
-1.067,5.2,1.5355266514
15.033,58.717,2.35036418012
89.467,26.333,1.63607023696
-90.157,38.571,2.12575743265
7.283,46.983,1.82530670637
28.144,61.045,2.10092316742
-64.1,53.567,2.12848853211
-64.783,-7.267,1.5711086364
8.833,35.167,1.86053171181
-98.371,19.158,2.16117971279
-97.68,30.183,1.77905826442
31.133,-29.617,1.85669489584
25.617,-27.65,2.01050507559
113.917,32.933,2.22855476909
4.867,44.14,1.79286480368
107.383,34.517,2.15525350445
136.683,66.8,2.28770389755
8.4,46.967,1.91282588092
-43.35,-3.75,1.64036931277
118.1,39.65,1.88123752353
-36.517,-8.883,1.69258181162
-87.083,45.733,2.23927239095
130.633,-18.333,2.26234365598
37.479,36.947,2.05645291691
19.912,39.602,1.97303655416
114.708,-28.796,2.15759222055
88.447,22.655,1.61203873449
-75.294,2.95,1.70987065921
-74.207,44.385,2.08010573118
-173.962,-18.585,1.62872355723
100.75,35.583,2.40018511335
-89.822,30.343,1.85369057843
120.05,-33.583,1.8995334511
-64.683,32.367,1.78963185221
136.883,-30.483,2.05541599212
133.855,34.757,1.91037847533
-72.533,48.833,2.34920160146
140.683,-34.2,2.04328475243
7.867,46.667,1.87160786739
25.3,46.65,2.10097657071
-106.867,40.517,1.94375543235
5.183,52.1,2.25262804022
-4.535,53.248,2.24652270084
-157.58,57.58,2.06816513296
103.253,15.23,1.58886328218
-70.737,7.069,1.65613749661
-112.351,40.612,2.15601673577
17.833,47.067,2.05103868772
70.2,39.45,2.28388620428
-80.567,28.483,1.84492975835
9.685,52.461,2.15101853592
134.817,35.533,1.92601247583
-113.9,52.183,2.38121227868
-77.547,35.937,2.18777073166
143.917,-35.733,2.00082487495
138.367,-21.6,2.2376033457
-122.285,38.21,1.78358981028
-49.933,-4.25,2.07579364114
-81.156,35.197,2.21172479599
-94.712,32.385,1.93012028953
-76.903,36.698,2.19574013915
108.1,10.933,1.61490660027
114.15,44.617,2.31069399488
15.733,50.733,1.92418020267
-94.888,36.909,1.97837764746
142.45,-38.283,2.01131302131
73.25,34.183,1.87123008388
-35.248,-5.911,1.58015488628
42.9,62.1,2.11571577509
-35.983,-8.233,1.62407124272
14.183,59.667,2.34823497323
-41.283,-16.0,1.74432021351
82.95,41.717,2.23007445758
90.517,56.283,2.09762141297
21.067,63.433,2.22329406051
8.183,46.367,1.96332011058
-114.083,64.183,2.35469520749
-3.417,56.883,2.20341832443
45.5,55.533,2.0337664336
-84.701,45.013,2.54975317024
22.467,46.533,2.00254396201
56.917,65.967,2.12940258544
5.4,50.033,2.19707418748
105.967,31.583,2.15355623168
18.268,42.561,2.12465403833
-89.533,14.967,1.84090410918
11.85,45.4,1.87471988397
14.467,48.95,1.8712080792
121.617,-32.983,1.90173014924
-105.283,73.75,2.42580511621
126.983,37.267,1.87905355013
-62.48,44.98,2.11041385809
16.983,60.267,2.21774727688
-63.135,-17.645,1.6081503783
-48.476,-1.379,1.52094319668
-109.483,37.583,2.34079237982
30.8,36.899,1.83580713423
-84.264,32.955,1.99462131082
-92.652,37.648,2.04521374545
107.703,16.402,1.58527225414
-109.513,40.443,2.13364720681
-57.673,-19.012,1.63289300449
66.967,54.367,1.90846716449
36.29,49.925,2.06848724704
-72.512,7.928,1.71790374345
35.753,-6.17,1.84980602346
9.412,0.459,1.57040262805
150.267,-33.617,2.09703995291
124.883,38.15,1.91981589701
-111.7,54.5,2.36792109217
-86.877,21.037,1.64410787167
-99.204,35.357,1.99574844574
-83.806,41.587,2.25375910665
27.202,61.687,2.02270545427
64.217,60.317,2.04600194412
47.7,37.45,2.02842222753
-161.833,59.75,2.09007170666
92.55,10.583,1.52379809717
82.717,18.817,1.77781253956
8.517,60.867,2.40799991006
-73.807,7.024,1.61475204804
24.417,57.317,2.53610499712
-89.617,-0.917,1.62422538672
-135.868,63.616,2.32239182435
-4.733,52.783,2.17108064275
15.95,48.767,1.87702670856
12.917,18.683,2.1083995274
124.933,40.45,2.08747803177
102.32,12.275,1.57400936086
43.783,52.25,2.18315301223
42.117,47.633,2.02994595572
-76.874,39.918,2.19760396831
89.567,44.017,2.30713662254
12.217,46.733,1.87314704494
75.801,22.722,1.84471071028
14.617,36.983,1.88114938671
30.05,63.317,2.1110501029
153.383,-28.35,1.84960451048
20.667,-32.383,2.28701584151
39.25,53.783,1.88701535546
20.7,45.783,2.01720330668
22.767,49.8,2.04591717548
-92.953,45.698,2.43092567471
16.4,59.05,2.29406128112
