Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_remove
2020/03/25,16747.792285923242,23813.378106525364,1990.5953391095281,1419.397039535088,225.95097011466416,42.823772532054704,16521.84131580858,16494.0,17002.0,23512.0,24116.0,,,,
2020/03/26,18547.879926079677,24794.957191559122,1800.0876401564346,981.579085033758,273.8809358788124,47.92996576414825,18273.998990200864,18282.0,18815.0,24487.0,25104.0,,,,
2020/03/27,20109.02287795803,25425.23531115419,1561.1429518783516,630.2781195950665,326.3045490111958,52.423613132383366,19782.718328946834,19832.0,20388.0,25113.0,25739.0,,,,
2020/03/28,21417.138402613135,25804.864764052756,1308.1155246551061,379.62945289856725,382.52633392655827,56.22178491536249,21034.612068686576,21131.0,21704.0,25491.0,26120.0,,,,
2020/03/29,22484.05096235311,26021.68180656572,1066.9125597399761,216.8170425129647,441.8520528814408,59.32571895488252,22042.19890947167,22191.0,22779.0,25706.0,26339.0,,,,
2020/03/30,23336.759281237126,26140.31199065667,852.7083188840152,118.63018409095093,503.6451133458328,61.793060464392,22833.114167891294,23038.0,23637.0,25824.0,26458.0,,,,
2020/03/31,24008.319021712978,26203.063417589212,671.5597404758519,62.7514269325402,567.3549499661344,63.709836620301644,23440.964071746843,23706.0,24312.0,25886.0,26521.0,,,,
2020/04/01,24531.772117587156,26235.401875774558,523.453095874178,32.3384581853461,632.5243706868173,65.16942072068287,23899.24774690034,24226.0,24839.0,25918.0,26554.0,,,,
2020/04/02,24936.900218528892,26251.740122825053,405.1281009417362,16.33824705049483,698.7842403692708,66.25986968245354,24238.11597815962,24628.0,25247.0,25935.0,26569.0,,,,
2020/04/03,25248.961527187425,26259.87310041741,312.06130865853265,8.132977592358657,765.8421912088453,67.05795083957446,24483.11933597858,24938.0,25561.0,25942.0,26577.0,,,,
2020/04/04,25488.581204546794,26263.877612109394,239.61967735936923,4.004511691982771,833.4696450414582,67.6274538326129,24655.111559505334,25176.0,25802.0,25947.0,26582.0,,,,
2020/04/05,25672.19926314136,26265.83384956501,183.6180585945658,1.9562374556153372,901.4894435255187,68.01979848406052,24770.70981961584,25359.0,25986.0,25949.0,26584.0,,,,
2020/04/06,25812.718037848506,26266.78418936866,140.5187747071468,0.9503398036504223,969.76507673794,68.27563321242133,24842.952961110568,25499.0,26128.0,25949.0,26585.0,,,,
2020/04/07,25920.162957872395,26267.244126543934,107.4449200238887,0.45993717527380795,1038.1917672778595,68.42669053991949,24881.971190594537,25605.0,26236.0,25951.0,26585.0,,,,
2020/04/08,26002.27437345706,26267.466188646562,82.11141558466625,0.2220621026281151,1106.6893108602387,68.4975435823792,24895.585062596823,25687.0,26318.0,25950.0,26586.0,,,,
2020/04/09,26065.004032407665,26267.57325677862,62.72965895060406,0.10706813205979415,1175.1964340378058,68.50712317756711,24889.807598369858,25749.0,26382.0,25950.0,26586.0,,,,
2020/04/10,26112.916504846762,26267.624851075703,47.912472439096746,0.0515942970814649,1243.6663993849234,68.46996534711752,24869.25010546184,25796.0,26430.0,25951.0,26586.0,,,,
2020/04/11,26149.506730302845,26267.649714581145,36.59022545608241,0.024863505441317102,1312.0636075113116,68.39720812638825,24837.443122791534,25833.0,26467.0,25951.0,26585.0,,,,
2020/04/12,26177.447881209602,26267.661702473168,27.941150906757684,0.011987892023171298,1380.3609820070692,68.2973744957576,24797.08689920253,25861.0,26495.0,25950.0,26585.0,,,,
2020/04/13,26198.783241693043,26267.6674873705,21.335360483441036,0.005784897333796835,1448.5379628238195,68.1769808167503,24750.245278869224,25882.0,26517.0,25951.0,26585.0,,,,
2020/04/14,26215.07398328463,26267.670282081035,16.290741591586993,0.002794710533635225,1516.578969375741,68.04100655192156,24698.49501390889,25898.0,26534.0,25951.0,26585.0,,,,
2020/04/15,26227.512608184723,26267.671634011193,12.438624900092691,0.0013519301573978737,1584.47222477682,67.89325540107893,24643.040383407904,25910.0,26545.0,25950.0,26585.0,,,,
2020/04/16,26237.009860654827,26267.672288972357,9.497252470104286,0.0006549611644004472,1652.208857014656,67.73663223783592,24584.801003640172,25921.0,26555.0,25950.0,26586.0,,,,
2020/04/17,26244.26122718356,26267.672606782933,7.251366528733342,0.0003178105762344785,1719.7822121509005,67.57335513624457,24524.47901503266,25927.0,26562.0,25951.0,26586.0,,,,
2020/04/18,26249.79777897498,26267.67276125584,5.536551791417878,0.00015447290570591576,1787.1873296806486,67.40511752974817,24462.61044929433,25933.0,26568.0,25951.0,26585.0,,,,
2020/04/19,26254.025023553826,26267.672836469366,4.227244578847603,7.521352745243348e-05,1854.4205418415886,67.23321216093996,24399.60448171224,25936.0,26572.0,25950.0,26585.0,,,,
2020/04/20,26257.252584323676,26267.672873156385,3.2275607698502427,3.668701901915483e-05,1921.4791676223822,67.05862578079359,24335.773416701293,25940.0,26576.0,25951.0,26586.0,,,,
2020/04/21,26259.716868972933,26267.672891085538,2.4642846492570243,1.7929152818396688e-05,1988.3612791057144,66.88211148333221,24271.35558986722,25942.0,26577.0,25951.0,26585.0,,,,
2020/04/22,26261.59838077653,26267.672899863202,1.8815118035963678,8.777664334047586e-06,2055.0655230552275,66.70424394951306,24206.5328577213,25945.0,26579.0,25950.0,26586.0,,,,
2020/04/23,26263.034937454453,26267.672904168267,1.4365566779233632,4.305064067011699e-06,2121.590984692297,66.52546163706938,24141.443952762158,25946.0,26580.0,25951.0,26586.0,,,,
2020/04/24,26264.131765189955,26267.672906284348,1.096827735502302,2.116081304848194e-06,2187.9370836814946,66.3460989891978,24076.19468150846,25947.0,26582.0,25950.0,26586.0,,,,
2020/04/25,26264.969205740694,26267.672907326294,0.8374405507383926,1.0419462341815233e-06,2254.103494715722,66.16641103422717,24010.865711024973,25948.0,26583.0,25951.0,26586.0,,,,
2020/04/26,26265.608601108313,26267.67290783972,0.639395367619727,5.134243110660464e-07,2320.0900868821705,65.98659216644865,23945.518514226143,25948.0,26584.0,25951.0,26586.0,,,,
2020/04/27,26266.096786683218,26267.672908093755,0.48818557490449166,2.540364221204072e-07,2385.896877367697,65.80679048552656,23880.19990931552,25949.0,26585.0,25950.0,26586.0,,,,
2020/04/28,26266.469521851577,26267.67290821988,0.3727351683592133,1.261250872630626e-07,2451.5239961131574,65.6271187454604,23814.945525738418,25950.0,26585.0,25951.0,26587.0,,,,
2020/04/29,26266.75410932721,26267.672908281806,0.2845874756312696,6.192567525431514e-08,2516.971658827366,65.44766271420849,23749.782450499843,25950.0,26584.0,25951.0,26586.0,,,,
2020/04/30,26266.97139504594,26267.672908312918,0.21728571873245528,3.111199475824833e-08,2582.240146383835,65.26848755646915,23684.731248662105,25951.0,26585.0,25951.0,26586.0,,,,
2020/05/01,26267.13729511505,26267.672908329085,0.16590006911064847,1.6167177818715572e-08,2647.3297890908266,65.08964270699153,23619.807506024226,25950.0,26585.0,25951.0,26586.0,,,,
2020/05/02,26267.263961672503,26267.672908335764,0.12666655745124444,6.679329089820385e-09,2712.240954682073,64.91116559124657,23555.02300699043,25951.0,26586.0,25951.0,26587.0,,,,
2020/05/03,26267.360673000298,26267.67290834041,0.09671132779476466,4.6456989366561174e-09,2776.974039148753,64.73308446667988,23490.386633851544,25950.0,26586.0,25951.0,26586.0,,,,
2020/05/04,26267.434513177723,26267.672908342294,0.07384017742515425,1.8844730220735073e-09,2841.529459740119,64.55542059136587,23425.905053437604,25950.0,26585.0,25951.0,26586.0,,,,
2020/05/05,26267.49089097788,26267.67290834236,0.05637780015604221,6.548361852765083e-11,2905.907649620473,64.37818988035406,23361.583241357406,25950.0,26585.0,25951.0,26586.0,,,,
2020/05/06,26267.533936055053,26267.67290834442,0.043045077174610924,2.0590960048139095e-09,2970.1090537905557,64.2014041700827,23297.4248822645,25950.0,26586.0,25951.0,26585.0,,,,
2020/05/07,26267.56680145309,26267.672908342924,0.03286539803593769,-1.495209289714694e-09,3034.1341259742485,64.02507218369283,23233.43267547884,25949.0,26585.0,25951.0,26585.0,,,,
2020/05/08,26267.591894550704,26267.67290834362,0.02509309761444456,6.948539521545172e-10,3097.983326242516,63.849200268267396,23169.608568308187,25950.0,26585.0,25950.0,26586.0,,,,
2020/05/09,26267.61105341059,26267.672908343764,0.019158859886374557,1.4551915228366852e-10,3161.65711920006,63.673792957544265,23105.95393421053,25951.0,26585.0,25951.0,26587.0,,,,
2020/05/10,26267.62568141361,26267.672908343768,0.01462800302033429,3.637978807091713e-12,3225.155972601669,63.49885340160881,23042.469708811943,25951.0,26585.0,25950.0,26586.0,,,,
2020/05/11,26267.63685005415,26267.672908343884,0.011168640539835906,1.1641532182693481e-10,3288.480356296677,63.32438369500824,22979.156493757473,25950.0,26586.0,25950.0,26585.0,,,,
