aera,2020/4/14,2020/4/15,2020/4/16,2020/4/17,2020/4/18,2020/4/19,2020/4/20,2020/4/21,2020/4/22,2020/4/23,2020/4/24,2020/4/25,2020/4/26,2020/4/27
Japan,8080,8738,9389,10031,10663,11285,11895,12494,13079,13651,14209,14752,15281,15794
Iran,73266,74766,76191,77544,78828,80047,81205,82305,83348,84339,85280,86174,87022,87828
Itay,159901,162989,166076,168915,171472,173808,175933,177858,179596,181162,182568,183827,184953,185958
America,577424,596978,614128,629010,641802,652708,661938,669700,676192,681595,686074,689773,692819,695319
German,131388,133352,135072,136606,137973,139193,140281,141252,142120,142896,143591,144214,144773,145277
Switzerland,25712,25978,26216,26430,26620,26790,26941,27076,27196,27303,27398,27482,27557,27624
Sweden,11002,11503,11985,12452,12904,13344,13773,14191,14601,15003,15396,15783,16164,16539
Spain,169602,172022,174134,175978,177589,178998,180233,181316,182269,183109,183851,184508,185092,185611
U.K.,88637,91754,94556,97053,99262,101206,102907,104392,105683,106803,107773,108612,109336,109961
Netherland,26701,27589,28408,29156,29832,30440,30983,31463,31887,32259,32584,32866,33111,33322
Belgium,30816,31893,32879,33776,34587,35319,35977,36567,37095,37566,37987,38363,38699,38998
Greece,2145,2174,2201,2226,2249,2271,2291,2310,2327,2343,2358,2372,2385,2398
Norway,6638,6742,6837,6925,7006,7081,7150,7214,7273,7328,7380,7427,7472,7514
Austria,13960,14073,14129,14180,14231,14257,14286,14311,14332,14350,14365,14379,14390,14399
Austrialia,6481,6553,6624,6775,6878,6976,7070,7160,7246,7328,7406,7481,7553,7621
Brazil,23777,25243,26579,27781,28847,29780,30587,31277,31860,32348,32753,33087,33360,33583
Denmark,6649,6931,7214,7496,7779,8061,8342,8623,8902,9180,9456,9730,10002,10272
Canada,25924,27409,28830,30180,31455,32653,33772,34812,35774,36660,37474,38217,38895,39511
Luxembourg,3358,3415,3476,3535,3593,3635,3677,3717,3753,3786,3817,3845,3871,3896
Russia,17680,19533,21348,22971,24497,25913,27227,28447,29578,30627,31601,32504,33342,34119
Qatar,3182,3383,3579,3770,3956,4137,4314,4486,4654,4817,4976,5130,5281,5428
France,136733,139463,141892,144050,145968,147670,149182,150525,151716,152774,153713,154547,155287,155943
Ireland,10396,11214,12045,12854,13626,14354,15035,15673,16267,16821,17337,17817,18265,18681
Portugal,3182,3383,3579,3770,3956,4137,4314,4486,4654,4817,4976,5130,5281,5428
Turkey,60986,64804,68329,71518,74354,76840,78995,80844,82420,83753,84875,85815,86599,87253
Israel,11645,12128,12594,13042,13472,13883,14275,14649,15004,15341,15661,15963,16248,16518
Estonia,1368,1430,1496,1565,1637,1712,1791,1873,1958,2047,2139,2235,2334,2437
Czech,6160,6324,6481,6633,6780,6922,7058,7190,7316,7439,7557,7671,7780,7886
Slovenia,1231,1256,1281,1304,1327,1349,1370,1390,1410,1429,1447,1464,1481,1497
Finland,3236,3436,3678,3925,4171,4454,4736,5028,5330,5641,5960,6286,6620,6960
Bahrain,1185,1237,1293,1351,1411,1474,1540,1608,1677,1749,1824,1900,1977,2057
