aera,2020/4/23,2020/4/24,2020/4/25,2020/4/26,2020/4/27,2020/4/28,2020/4/29,2020/4/30,2020/5/1,2020/5/2,2020/5/3,2020/5/4,2020/5/5,2020/5/6
Japan,12138,12747,13356,13964,14567,15165,15754,16332,16899,17453,17991,18514,19019,19507
Iran,85737,86972,88208,89118,90166,91194,92200,93183,94140,95071,95975,96853,97703,98526
Itay,186711,189089,191467,193786,195871,197806,199594,201242,202755,204141,205407,206561,207611,208564
America,843281,860583,876126,890005,902331,913224,922809,931208,938541,944923,950460,955251,959387,962950
German,149666,150788,151825,152784,153671,154491,155249,155950,156598,157197,157752,158264,158738,159176
Switzerland,28232,28381,28511,28625,28725,28812,28888,28955,29013,29063,29107,29145,29179,29208
Sweden,15729,16124,16509,16884,17249,17604,17949,18286,18613,18932,19242,19544,19838,20124
Spain,206065,207713,209155,210418,211527,212503,213364,214126,214801,215402,215937,216415,216843,217227
U.K.,133994,137483,140655,143532,146138,148495,150627,152555,154297,155871,157293,158578,159738,160786
Netherland,35016,35666,36268,36822,37332,37799,38226,38616,38971,39294,39587,39853,40094,40312
Belgium,42175,43338,44444,45495,46491,47435,48328,49171,49968,50720,51429,52098,52728,53322
Norway,7344,7412,7494,7574,7654,7723,7792,7858,7922,7983,8041,8097,8151,8202
Austria,14924,14974,15022,15065,15106,15145,15181,15215,15247,15277,15305,15331,15356,15379
Brazil,44420,45705,46936,48116,49246,50328,51365,52359,53311,54223,55096,55933,56735,57504
Denmark,8119,8274,8452,8622,8791,8921,9056,9184,9307,9425,9539,9649,9757,9863
Canada,41076,42715,44304,45831,47291,48679,49996,51243,52420,53530,54577,55563,56491,57364
Luxembourg,3636,3671,3697,3721,3745,3764,3783,3801,3818,3833,3848,3861,3874,3886
Russia,55873,58589,61006,62558,63813,64761,65471,66001,66396,66690,66908,67072,67193,67284
Qatar,6935,7331,7714,8079,8423,8742,9036,9304,9546,9764,9959,10132,10285,10420
France,161533,163061,164157,164967,165577,166042,166399,166676,166891,167060,167191,167295,167376,167440
Ireland,16517,16972,17404,17815,18205,18576,18929,19265,19584,19887,20176,20450,20710,20958
Portugal,6935,7331,7714,8079,8423,8742,9036,9304,9546,9764,9959,10132,10285,10420
Turkey,98789,101865,104824,107669,110405,113037,115568,118003,120344,122595,124761,126843,128846,130772
Israel,14154,14355,14547,14729,14902,15066,15223,15371,15512,15646,15774,15895,16010,16119
Estonia,1574,1596,1617,1637,1656,1674,1691,1708,1724,1740,1754,1768,1782,1795
Czech,7148,7260,7367,7470,7570,7665,7757,7846,7931,8014,8093,8169,8242,8312
Slovenia,1361,1377,1393,1408,1423,1437,1451,1463,1476,1488,1499,1510,1521,1531
Finland,4158,4231,4337,4442,4546,4641,4737,4830,4920,5009,5095,5179,5260,5340
Bahrain,,,,,,,,,,,,,,
