aera,2020/4/16,2020/4/17,2020/4/18,2020/4/19,2020/4/20,2020/4/21,2020/4/22,2020/4/23,2020/4/24,2020/4/25,2020/4/26,2020/4/27,2020/4/28,2020/4/29
Japan,8687,9207,9733,10263,10793,11322,11848,12367,12880,13383,13877,14359,14830,15289
Iran,75810,76672,77466,78198,78873,79495,80069,80599,81087,81537,81951,82334,82687,83012
Itay,165522,168187,170851,173232,175386,177344,179117,180718,182159,183452,184610,185645,186569,187392
America,622222,637066,649885,660867,670210,678111,684758,690324,694967,698827,702027,704673,706856,708653
German,133257,134987,136562,137997,139302,140490,141570,142553,143446,144258,144996,145667,146276,146830
Switzerland,26148,26334,26497,26640,26765,26874,26969,27053,27125,27189,27244,27292,27334,27370
Sweden,11973,12486,12984,13468,13938,14395,14839,15269,15688,16094,16489,16872,17245,17606
Spain,174749,176671,178345,179804,181078,182192,183169,184028,184784,185451,186042,186567,187033,187449
U.K.,97866,100298,102256,103835,105109,106138,106971,107645,108192,108636,108997,109291,109531,109727
Netherland,28394,29140,29818,30429,30975,31459,31887,32262,32590,32874,33121,33333,33516,33673
Belgium,32207,33105,33851,34478,35010,35465,35860,36206,36511,36784,37029,37252,37456,37644
Norway,6754,6880,6999,7114,7223,7327,7426,7521,7612,7699,7782,7862,7938,8011
Austria,14241,14356,14414,14468,14522,14555,14589,14619,14646,14670,14690,14709,14725,14739
Austrialia,6584,6636,6688,6844,6940,7033,7121,7206,7287,7365,7440,7511,7580,7645
Brazil,26953,28662,30369,32053,33700,35296,36833,38304,39704,41031,42284,43465,44575,45617
Denmark,6989,7273,7557,7840,8124,8406,8688,8969,9249,9528,9806,10082,10357,10630
Canada,28078,29069,30009,30898,31738,32529,33273,33973,34631,35247,35825,36366,36872,37345
Luxembourg,3385,3424,3479,3531,3584,3623,3663,3700,3734,3765,3794,3821,3846,3868
Russia,22922,24697,26441,28034,29534,30927,32211,33391,34473,35462,36364,37187,37937,38620
Qatar,3628,3825,4017,4204,4386,4563,4735,4903,5066,5225,5380,5530,5677,5819
France,145677,147762,149592,151196,152604,153838,154920,155869,156701,157430,158069,158630,159122,159553
Ireland,12182,12877,13557,14216,14849,15453,16026,16569,17080,17561,18012,18435,18832,19202
Portugal,3628,3825,4017,4204,4386,4563,4735,4903,5066,5225,5380,5530,5677,5819
Turkey,69037,72833,76497,80033,83445,86736,89912,92976,95932,98784,101535,104190,106751,109222
Israel,12467,12871,13259,13629,13982,14318,14638,14941,15228,15500,15757,15999,16227,16442
Estonia,1403,1432,1460,1486,1510,1533,1554,1574,1592,1609,1625,1639,1652,1664
Czech,6225,6330,6427,6516,6598,6673,6742,6806,6865,6919,6968,7014,7056,7094
Slovenia,1242,1264,1285,1304,1324,1342,1359,1376,1392,1408,1423,1437,1451,1464
Finland,3298,3403,3521,3638,3755,3862,3969,4074,4176,4276,4373,4469,4561,4652
Bahrain,1612,1698,1785,1872,1959,2047,2134,2221,2308,2394,2479,2564,2649,2733
