aera,2020/4/28,2020/4/29,2020/4/30,2020/5/1,2020/5/2,2020/5/3,2020/5/4,2020/5/5,2020/5/6,2020/5/7,2020/5/8,2020/5/9,2020/5/10,2020/5/11
Japan,14008,14561,15097,15617,16120,16607,17077,17531,17968,18390,18796,19186,19562,19923
Iran,90896,92052,93208,93583,94316,95027,95713,96374,97010,97621,98207,98769,99307,99821
Itay,199186,201075,202963,204127,205453,206670,207784,208799,209723,210562,211322,212009,212629,213188
America,982227,997641,1011608,1024193,1035494,1045619,1054673,1062758,1069970,1076397,1082122,1087218,1091754,1095791
German,158628,159421,160155,160834,161461,162041,162578,163074,163532,163956,164349,164711,165046,165356
Switzerland,29110,29152,29187,29216,29241,29262,29279,29294,29306,29317,29325,29333,29339,29344
Sweden,19321,19958,20553,21109,21629,22115,22570,22994,23391,23762,24109,24433,24736,25020
Spain,229198,231658,234011,236264,238419,240482,242456,244345,246153,247883,249539,251123,252639,254090
U.K.,158389,162336,165902,169112,171991,174562,176852,178884,180682,182268,183663,184887,185960,186897
Netherland,38674,39269,39825,40345,40829,41279,41698,42086,42447,42781,43091,43377,43643,43888
Belgium,47126,48008,48797,49504,50142,50720,51246,51728,52171,52581,52963,53319,53653,53968
Norway,7610,7664,7729,7794,7858,7913,7968,8021,8072,8120,8167,8212,8254,8295
Austria,15339,15451,15561,15670,15777,15882,15986,16088,16188,16287,16384,16479,16573,16666
Brazil,65572,68246,70874,73457,75992,78480,80922,83318,85670,87977,90241,92462,94642,96781
Denmark,8881,8986,9087,9184,9277,9366,9453,9535,9615,9691,9765,9835,9903,9969
Canada,48236,49284,50293,51262,52193,53086,53944,54767,55556,56312,57037,57731,58396,59033
Luxembourg,3735,3747,3758,3767,3776,3784,3791,3798,3804,3809,3814,3818,3822,3826
Russia,85614,89946,94034,97232,100000,102293,104165,105675,106878,107829,108575,109155,109604,109950
Qatar,11186,12152,13183,14274,15423,16624,17872,19160,20481,21827,23191,24564,25937,27303
France,163225,164107,164881,165561,166158,166681,167141,167544,167899,168210,168482,168722,168932,169117
Ireland,19583,20065,20528,20975,21405,21819,22218,22600,22968,23320,23657,23979,24286,24580
Portugal,11186,12152,13183,14274,15423,16624,17872,19160,20481,21827,23191,24564,25937,27303
Turkey,113306,116398,119408,122337,125189,127964,130665,133295,135854,138346,140770,143131,145428,147664
Israel,15631,15808,15976,16134,16284,16425,16558,16684,16802,16914,17020,17120,17214,17303
Estonia,1663,1683,1703,1723,1743,1763,1782,1802,1822,1842,1861,1881,1901,1920
Czech,7505,7606,7706,7805,7903,8000,8095,8190,8284,8377,8469,8559,8649,8738
Slovenia,1409,1422,1435,1447,1458,1469,1479,1489,1499,1508,1517,1525,1533,1541
Finland,4724,4801,4912,5022,5132,5235,5339,5441,5542,5641,5738,5833,5927,6020
Bahrain,2738,2828,2918,3007,3096,3183,3270,3357,3442,3527,3611,3694,3776,3858
