aera,2020/4/24,2020/4/25,2020/4/26,2020/4/27,2020/4/28,2020/4/29,2020/4/30,2020/5/1,2020/5/2,2020/5/3,2020/5/4,2020/5/5,2020/5/6,2020/5/7
Japan,12459,12958,13445,13919,14382,14831,15269,15694,16106,16507,16896,17273,17638,17992
Iran,86370,87652,88933,89296,90095,90873,91629,92359,93064,93742,94394,95020,95620,96195
Itay,189902,192179,194456,196586,198524,200313,201957,203462,204837,206088,207225,208254,209185,210026
America,858224,874629,889543,903011,915128,925997,935725,944415,952165,959068,965211,970674,975529,979843
German,151755,152778,153724,154597,155404,156149,156838,157474,158062,158605,159106,159570,159998,160393
Switzerland,28407,28529,28636,28730,28811,28882,28944,28998,29045,29086,29122,29153,29179,29203
Sweden,16563,17096,17606,18092,18555,18998,19420,19823,20208,20575,20925,21260,21579,21883
Spain,210778,213078,215250,217280,219163,220901,222501,223971,225320,226558,227694,228737,229694,230573
U.K.,138631,142325,145742,148904,151829,154536,157042,159362,161510,163500,165343,167050,168632,170099
Netherland,35682,36284,36840,37351,37820,38249,38641,38998,39323,39618,39885,40128,40347,40546
Belgium,43275,44516,45634,46646,47566,48409,49185,49903,50570,51193,51778,52328,52848,53340
Norway,7436,7500,7578,7655,7731,7796,7862,7925,7986,8044,8099,8153,8204,8253
Austria,14967,15008,15048,15084,15119,15152,15184,15213,15241,15268,15293,15317,15340,15362
Brazil,47051,48289,49474,50609,51694,52733,53727,54679,55589,56461,57295,58093,58856,59587
Denmark,8249,8387,8521,8653,8785,8900,9016,9127,9234,9337,9436,9531,9622,9710
Canada,42899,44107,45275,46403,47491,48539,49548,50520,51454,52352,53215,54043,54839,55602
Luxembourg,3679,3708,3734,3759,3784,3803,3823,3842,3859,3875,3891,3905,3918,3931
Russia,60524,62689,64585,65691,66560,67188,67638,67961,68193,68358,68477,68563,68624,68669
Qatar,7600,8058,8502,8923,9315,9674,9998,10286,10540,10761,10952,11115,11253,11369
France,158260,159198,159982,160635,161180,161635,162014,162330,162594,162815,162998,163152,163280,163386
Ireland,17166,17643,18102,18543,18967,19375,19768,20145,20508,20857,21193,21516,21827,22126
Portugal,7600,8058,8502,8923,9315,9674,9998,10286,10540,10761,10952,11115,11253,11369
Turkey,102134,105503,108784,111979,115089,118118,121067,123939,126735,129458,132109,134690,137204,139651
Israel,14706,14903,15090,15267,15435,15594,15745,15888,16024,16152,16274,16390,16499,16603
Estonia,1580,1601,1621,1640,1659,1676,1693,1709,1724,1739,1753,1766,1779,1791
Czech,7244,7352,7456,7557,7653,7746,7835,7921,8004,8084,8160,8234,8305,8374
Slovenia,1366,1378,1390,1401,1411,1421,1430,1439,1447,1455,1462,1469,1476,1482
Finland,4268,4340,4444,4545,4647,4740,4833,4923,5012,5098,5181,5263,5342,5420
Bahrain,2103,2177,2249,2320,2388,2455,2520,2583,2645,2705,2763,2820,2876,2930
