aera,2020/4/15,2020/4/16,2020/4/17,2020/4/18,2020/4/19,2020/4/20,2020/4/21,2020/4/22,2020/4/23,2020/4/24,2020/4/25,2020/4/26,2020/4/27,2020/4/28
Japan,8180,8688,9205,9728,10254,10780,11305,11825,12339,12845,13343,13831,14308,14773
Iran,74817,76253,77617,78911,80138,81303,82409,83458,84454,85399,86296,87146,87954,88720
Itay,162061,164941,167821,169806,171925,173879,175676,177326,178839,180225,181492,182649,183707,184671
America,601672,619277,634585,647748,658954,668408,676321,682897,688330,692792,696441,699412,701822,703771
German,131879,133490,134948,136268,137463,138546,139529,140422,141234,141972,142646,143260,143822,144336
Switzerland,25923,26129,26310,26469,26608,26729,26836,26928,27009,27079,27141,27194,27241,27281
Sweden,11465,11966,12451,12920,13374,13813,14238,14649,15047,15432,15804,16165,16513,16851
Spain,172539,174669,176518,178124,179520,180736,181798,182726,183541,184257,184888,185446,185941,186380
U.K.,93221,95957,98006,99542,100692,101554,102200,102684,103046,103318,103522,103674,103788,103874
Netherland,27595,28414,29162,29840,30450,30995,31477,31903,32276,32601,32883,33128,33339,33520
Belgium,31622,32446,33113,33661,34117,34504,34838,35131,35392,35627,35843,36042,36228,36403
Norway,6708,6804,6894,6976,7052,7122,7187,7247,7303,7355,7404,7449,7492,7532
Austria,14036,14142,14186,14226,14265,14285,14308,14327,14343,14356,14368,14378,14386,14394
Brazil,25124,26746,28295,29772,31182,32527,33809,35033,36200,37313,38375,39388,40355,41276
Denmark,6798,7085,7371,7657,7943,8229,8513,8797,9080,9361,9641,9919,10195,10469
Canada,26772,27814,28804,29742,30630,31468,32258,33001,33700,34356,34971,35548,36088,36593
Luxembourg,3476,3544,3651,3748,3845,3895,3953,4007,4055,4101,4145,4187,4228,4269
Russia,20086,21819,23533,25136,26660,28088,29420,30655,31798,32853,33826,34721,35545,36302
Qatar,3436,3637,3834,4025,4211,4392,4568,4740,4906,5069,5227,5381,5530,5676
France,140561,142954,145083,146978,148663,150162,151495,152680,153735,154672,155506,156247,156907,157493
Ireland,11352,12060,12762,13449,14115,14757,15370,15953,16505,17026,17515,17975,18406,18809
Portugal,3436,3637,3834,4025,4211,4392,4568,4740,4906,5069,5227,5381,5530,5676
Turkey,64662,68193,71636,74988,78248,81417,84494,87479,90376,93185,95907,98546,101103,103580
Israel,12047,12491,12917,13326,13718,14091,14446,14784,15105,15409,15696,15968,16224,16465
Estonia,1369,1405,1440,1474,1506,1538,1568,1598,1626,1654,1680,1706,1730,1754
Czech,6294,6530,6766,7002,7238,7474,7710,7945,8181,8417,8652,8887,9122,9357
Slovenia,1235,1257,1278,1298,1317,1336,1354,1371,1387,1403,1418,1433,1447,1460
Finland,3202,3313,3435,3555,3675,3785,3895,4003,4108,4210,4310,4408,4503,4596
Bahrain,1438,1517,1597,1678,1759,1841,1922,2003,2085,2165,2246,2326,2405,2484
