aera,2020/4/8,2020/4/9,2020/4/10,2020/4/11,2020/4/12,2020/4/13,2020/4/14,2020/4/15,2020/4/16,2020/4/17,2020/4/18,2020/4/19,2020/4/20,2020/4/21
Japan,4535,5006,5512,6051,6618,7207,7812,8430,9053,9679,10302,10920,11529,12126
Iran,62305,63958,65471,66857,68126,69288,70353,71327,72220,73037,73785,74470,75097,75672
Itay,135342,138553,141765,143826,146070,148116,149980,151676,153220,154624,155901,157061,158116,159074
America,394344,418999,441163,460686,477564,491911,503920,513838,521932,528471,533706,537867,541152,543733
German,107141,110296,113010,115355,117380,119123,120620,121904,123005,123948,124757,125451,126048,126562
Switzerland,22089,22476,22820,23126,23398,23638,23851,24039,24205,24351,24480,24593,24693,24780
Sweden,7818,8461,9132,9827,10543,11277,12024,12780,13540,14299,15053,15797,16527,17240
Spain,140887,144639,147966,150904,153490,155761,157752,159495,161020,162355,163522,164544,165439,166224
U.K.,56536,60636,64518,68134,71456,74472,77178,79585,81708,83568,85187,86592,87804,88847
Netherland,19990,20886,21659,22330,22911,23412,23841,24207,24517,24779,24999,25184,25338,25468
Belgium,22549,23905,25061,26067,26944,27704,28356,28914,29388,29789,30128,30415,30656,30860
Greece,1865,1970,2071,2160,2247,2330,2412,2494,2575,2658,2743,2831,2921,3016
Norway,6140,6389,6618,6829,7027,7216,7397,7574,7749,7923,8097,8273,8453,8637
Austria,12625,12837,13085,13320,13556,13721,13891,14046,14188,14317,14434,14542,14640,14729
Austrialia,5953,6098,6244,6379,6508,6631,6748,6859,6966,7067,7163,7255,7343,7426
Denmark,5103,5328,5550,5770,5989,6208,6427,6648,6870,7094,7321,7551,7783,8019
Canada,18894,20524,22112,23634,25074,26416,27653,28781,29800,30714,31527,32247,32881,33439
Luxembourg,3011,3110,3217,3306,3395,3433,3485,3535,3585,3635,3685,3737,3790,3845
Russia,7311,8304,9316,10352,11371,12358,13300,14186,15011,15769,16462,17090,17658,18168
Qatar,2010,2196,2385,2574,2762,2946,3127,3304,3478,3647,3813,3974,4133,4287
France,103441,107637,111382,114719,117690,120337,122693,124792,126662,128326,129809,131129,132305,133353
Ireland,5745,6131,6520,6911,7302,7692,8080,8463,8842,9214,9579,9935,10283,10621
Portugal,2010,2196,2385,2574,2762,2946,3127,3304,3478,3647,3813,3974,4133,4287
Turkey,32586,34742,36691,38447,40025,41443,42717,43860,44887,45808,46636,47378,48045,48644
Israel,9423,9923,10405,10869,11316,11746,12160,12558,12942,13311,13666,14008,14337,14654
Estonia,1212,1328,1455,1595,1749,1916,2097,2292,2503,2728,2969,3225,3496,3781
Czech,5060,5301,5543,5788,6034,6284,6536,6791,7050,7311,7576,7844,8115,8390
Slovenia,1065,1110,1155,1202,1248,1295,1343,1391,1440,1490,1539,1590,1640,1692
Finland,2310,2487,2654,2826,2998,3208,3419,3640,3873,4117,4371,4636,4911,5197
Bahrain,782,810,837,865,893,922,951,980,1009,1039,1069,1099,1129,1160
