aera,2020/4/21,2020/4/22,2020/4/23,2020/4/24,2020/4/25,2020/4/26,2020/4/27,2020/4/28,2020/4/29,2020/4/30,2020/5/1,2020/5/2,2020/5/3,2020/5/4
Japan,11501,12190,12862,13518,14156,14776,15378,15961,16525,17070,17595,18101,18588,19055
Iran,83135,83936,84738,85493,86182,86824,87424,87983,88506,88993,89448,89872,90268,90638
Itay,182276,185007,187737,190556,193026,195317,197433,199378,201160,202787,204267,205611,206827,207926
America,776670,792259,805978,817963,828374,837377,845134,851797,857509,862397,866574,870142,873187,875787
German,147043,148222,149289,150255,151129,151918,152632,153276,153858,154382,154856,155283,155668,156016
Switzerland,27985,28210,28417,28607,28782,28942,29089,29224,29348,29461,29566,29662,29750,29830
Sweden,14955,15505,16035,16545,17036,17510,17965,18404,18827,19234,19626,20004,20368,20718
Spain,200976,203155,205144,206935,208536,209962,211234,212367,213378,214282,215090,215815,216465,217051
U.K.,124750,127901,130678,133127,135290,137201,138891,140387,141711,142884,143923,144844,145660,146383
Netherland,33637,34385,35083,35731,36329,36880,37386,37850,38273,38660,39011,39331,39622,39886
Belgium,39693,40812,41857,42836,43754,44615,45425,46187,46904,47580,48217,48818,49385,49919
Norway,7190,7264,7353,7440,7527,7602,7677,7749,7817,7883,7946,8007,8065,8120
Austria,14801,14849,14894,14930,14963,14992,15018,15041,15061,15078,15094,15108,15120,15131
Brazil,40077,41444,42756,44017,45228,46391,47508,48581,49612,50602,51552,52465,53342,54184
Denmark,7830,7996,8202,8406,8611,8806,9002,9195,9386,9574,9761,9944,10126,10305
Canada,36637,37573,38440,39238,39970,40638,41245,41796,42293,42742,43145,43507,43832,44122
Luxembourg,3574,3611,3640,3667,3695,3716,3738,3758,3777,3795,3811,3826,3841,3854
Russia,46942,50647,54066,56519,58559,60165,61413,62375,63112,63675,64105,64432,64682,64872
Qatar,5848,6254,6660,7058,7443,7811,8160,8485,8786,9062,9313,9539,9741,9921
France,156895,159388,161609,163586,165347,166916,168313,169557,170666,171653,172532,173315,174012,174633
Ireland,15911,16533,17113,17651,18146,18599,19013,19390,19732,20042,20322,20575,20804,21010
Portugal,5848,6254,6660,7058,7443,7811,8160,8485,8786,9062,9313,9539,9741,9921
Turkey,89685,92940,96075,99094,102001,104801,107497,110094,112595,115003,117322,119556,121707,123778
Israel,13725,13947,14159,14360,14551,14734,14907,15071,15228,15376,15518,15653,15781,15902
Estonia,1553,1577,1600,1623,1645,1666,1686,1706,1725,1744,1762,1779,1795,1812
Czech,6813,6875,6932,6984,7031,7075,7115,7151,7184,7215,7242,7268,7291,7313
Slovenia,1347,1365,1381,1397,1412,1427,1441,1454,1467,1479,1491,1503,1513,1524
Finland,3929,4009,4120,4229,4338,4438,4537,4634,4729,4821,4911,4999,5084,5167
Bahrain,1987,2095,2204,2315,2427,2540,2654,2770,2887,3005,3123,3243,3364,3486
