aera,2020/4/20,2020/4/21,2020/4/22,2020/4/23,2020/4/24,2020/4/25,2020/4/26,2020/4/27,2020/4/28,2020/4/29,2020/4/30,2020/5/1,2020/5/2,2020/5/3
Japan,10999,11571,12134,12688,13231,13764,14284,14791,15285,15766,16233,16686,17125,17550
Iran,81851,82717,83582,84389,85132,85825,86474,87081,87648,88178,88674,89138,89571,89976
Itay,179405,182289,185173,188178,190817,193273,195547,197645,199571,201333,202941,204403,205729,206930
America,754609,774327,791654,806839,820099,831635,841634,850271,857711,864102,869581,874269,878277,881698
German,144720,145968,147100,148128,149065,149920,150703,151421,152080,152687,153248,153766,154245,154690
Switzerland,27662,27892,28094,28273,28430,28568,28689,28795,28888,28970,29041,29103,29158,29205
Sweden,14255,14680,15096,15501,15895,16279,16652,17016,17369,17713,18048,18373,18690,18998
Spain,194293,196745,199015,201088,202968,204669,206206,207596,208852,209988,211017,211950,212796,213566
U.K.,119103,122484,125505,128209,130630,132802,134749,136497,138064,139470,140731,141860,142871,143776
Netherland,32427,33030,33577,34069,34510,34902,35251,35560,35832,36071,36281,36464,36624,36764
Belgium,38447,39622,40717,41740,42697,43595,44438,45231,45979,46684,47350,47979,48574,49136
Norway,7151,7226,7317,7407,7496,7572,7649,7722,7793,7860,7925,7986,8046,8102
Austria,14731,14787,14839,14882,14920,14954,14984,15011,15035,15056,15074,15091,15105,15118
Brazil,36580,37951,39271,40543,41768,42949,44086,45182,46237,47255,48234,49178,50088,50964
Denmark,7681,7862,8071,8279,8486,8680,8873,9063,9249,9431,9609,9784,9954,10120
Canada,35392,36366,37275,38120,38903,39624,40286,40893,41447,41952,42412,42829,43207,43549
Luxembourg,3560,3602,3633,3662,3692,3715,3738,3759,3779,3798,3816,3832,3847,3861
Russia,41787,46221,50196,53130,55588,57540,59070,60259,61176,61881,62423,62838,63156,63401
Qatar,5453,5864,6278,6688,7088,7475,7843,8190,8514,8814,9088,9338,9562,9764
France,154343,156457,158250,159792,161130,162298,163323,164224,165018,165719,166340,166889,167375,167807
Ireland,15415,16082,16709,17292,17833,18330,18786,19201,19580,19923,20234,20515,20769,20998
Portugal,5453,5864,6278,6688,7088,7475,7843,8190,8514,8814,9088,9338,9562,9764
Turkey,85246,88447,91551,94557,97467,100283,103007,105642,108189,110651,113031,115331,117552,119699
Israel,13521,13782,14037,14286,14529,14766,14998,15224,15444,15659,15869,16073,16272,16466
Estonia,1537,1561,1584,1606,1627,1648,1668,1686,1704,1722,1738,1754,1769,1783
Czech,6707,6776,6839,6898,6951,7000,7045,7086,7123,7158,7189,7218,7245,7269
Slovenia,1335,1353,1370,1386,1402,1417,1431,1445,1458,1471,1483,1495,1506,1517
Finland,3726,3842,3956,4070,4174,4279,4381,4480,4577,4671,4763,4853,4941,5026
Bahrain,1995,2121,2245,2367,2489,2608,2727,2844,2960,3074,3188,3299,3410,3519
