aera,2020/4/1,2020/4/2,2020/4/3,2020/4/4,2020/4/5,2020/4/6,2020/4/7,2020/4/8,2020/4/9,2020/4/10,2020/4/11,2020/4/12,2020/4/13,2020/4/14
Korea,9814,9890,9966,10041,10115,10189,10263,10336,10408,10480,10552,10623,10693,10763
Japan,2071,2199,2336,2483,2640,2807,2985,3173,3373,3583,3806,4041,4288,4548
Iran,43912,45992,47785,49334,50673,51830,52829,53691,54434,55073,55622,56093,56497,56843
Itay,107999,113150,118302,123322,127647,131539,135015,138099,140820,143207,145292,147106,148679,150039
America,186452,208850,230101,249733,267392,282881,296155,307297,316479,323926,329884,334594,338281,341144
German,71213,75160,78716,81886,84685,87137,89271,91121,92718,94092,95270,96278,97137,97867
Switzerland,16792,17617,18400,19140,19839,20499,21122,21709,22262,22783,23273,23735,24169,24578
Sweden,4458,4915,5403,5924,6479,7070,7695,8354,9044,9764,10509,11277,12062,12859
Spain,95045,101654,107725,113226,118150,122511,126339,129674,132564,135057,137201,139041,140618,141971
U.K.,26208,30120,34147,38216,42237,46116,49766,53120,56132,58776,61053,62977,64577,65888
Netherland,13380,14901,16393,17847,19248,20576,21814,22950,23974,24885,25682,26371,26961,27459
Belgium,13428,15008,16600,18170,19686,21118,22447,23658,24745,25707,26548,27276,27900,28431
Greece,1330,1437,1535,1615,1694,1771,1851,1933,2021,2116,2218,2329,2450,2582
Norway,4798,5166,5547,5940,6344,6759,7182,7612,8048,8489,8934,9380,9827,10274
Austria,10710,11451,12195,12814,13433,13837,14346,14878,15436,16022,16634,17270,17925,18595
Austrialia,5035,5600,6165,6943,7666,8410,9171,9942,10719,11497,12270,13034,13786,14523
Brazil,5980,6993,8122,9371,10735,12209,13775,15413,17097,18797,20480,22115,23674,25132
Denmark,2945,3144,3351,3565,3787,4014,4248,4487,4730,4977,5228,5481,5737,5994
Canada,8841,10333,11937,13655,15466,17341,19242,21130,22966,24715,26351,27854,29213,30423
Luxembourg,2292,2442,2613,2738,2863,2948,3060,3181,3310,3447,3592,3745,3904,4068
Russia,2232,2666,3129,3686,4286,4933,5620,6337,7075,7825,8576,9322,10053,10766
Qatar,721,750,778,806,835,863,891,919,947,975,1003,1031,1059,1086
France,50392,55700,61031,66310,71458,76401,81076,85431,89430,93055,96301,99174,101691,103878
Ireland,3247,3601,3971,4356,4753,5160,5576,5999,6426,6854,7282,7708,8130,8546
Portugal,721,750,778,806,835,863,891,919,947,975,1003,1031,1059,1086
Turkey,13980,17491,21245,25073,28786,32219,35260,37859,40018,41772,43175,44283,45152,45830
Israel,5260,5832,6403,6969,7527,8074,8608,9127,9632,10120,10592,11048,11487,11911
Estonia,800,901,1021,1160,1319,1500,1704,1934,2189,2471,2781,3119,3484,3875
Czech,3363,3749,4157,4585,5032,5496,5975,6466,6969,7479,7994,8513,9032,9550
Slovenia,814,876,942,1010,1082,1158,1236,1318,1403,1491,1582,1676,1774,1873
Finland,1579,1763,1985,2212,2440,2738,3041,3370,3724,4105,4513,4945,5402,5881
Bahrain,535,556,577,598,620,641,663,685,707,729,751,773,796,818
