aera,2020/4/11,2020/4/12,2020/4/13,2020/4/14,2020/4/15,2020/4/16,2020/4/17,2020/4/18,2020/4/19,2020/4/20,2020/4/21,2020/4/22,2020/4/23,2020/4/24
Korea,10527,10603,10680,10755,10830,10905,10978,11052,11124,11197,11268,11339,11410,11480
Japan,6038,6609,7199,7804,8420,9042,9666,10289,10906,11515,12115,12704,13283,13852
Iran,68280,70239,72102,73874,75559,77162,78686,80135,81513,82824,84070,85255,86382,87454
Itay,146031,148834,151637,153382,155305,157052,158636,160072,161373,162551,163616,164580,165451,166239
America,484724,504237,520898,534983,546790,556617,564746,571436,576917,581392,585033,587988,590382,592316
German,121199,123933,126406,128638,130652,132468,134103,135575,136900,138093,139168,140136,141008,141796
Switzerland,24540,25001,25435,25845,26231,26595,26938,27261,27566,27853,28123,28378,28619,28845
Sweden,9786,10454,11138,11834,12537,13242,13944,14639,15323,15992,16645,17279,17892,18482
Spain,156641,159622,162204,164439,166373,168047,169496,170754,171847,172799,173630,174358,174997,175559
U.K.,69360,72573,75504,78160,80553,82699,84617,86328,87850,89204,90406,91472,92418,93257
Netherland,22902,23800,24599,25303,25918,26451,26908,27298,27629,27907,28140,28335,28497,28630
Belgium,25985,26881,27666,28348,28934,29436,29864,30228,30538,30801,31024,31214,31376,31514
Norway,6466,6694,6899,7087,7260,7422,7575,7720,7861,7999,8134,8268,8403,8538
Austria,13493,13646,13830,14005,14179,14299,14424,14537,14639,14732,14817,14894,14964,15027
Austrialia,6222,6326,6430,6533,6630,6723,6813,6899,6983,7063,7141,7215,7287,7356
Brazil,19710,21326,22901,24406,25816,27114,28290,29339,30263,31065,31754,32340,32833,33245
Denmark,6108,6389,6670,6952,7236,7519,7804,8088,8372,8656,8940,9222,9504,9784
Canada,22362,23715,25002,26214,27345,28390,29350,30225,31018,31734,32377,32953,33468,33927
Luxembourg,3300,3390,3496,3583,3670,3699,3745,3788,3830,3871,3913,3955,3999,4043
Russia,11593,13103,14650,16264,17870,19453,20991,22468,23873,25199,26441,27600,28677,29676
Qatar,2574,2773,2970,3165,3357,3544,3727,3905,4080,4250,4415,4577,4735,4888
France,123157,127178,130842,134157,137139,139810,142192,144311,146191,147857,149330,150632,151780,152793
Ireland,7169,7809,8488,9198,9933,10685,11447,12212,12971,13718,14445,15147,15817,16452
Portugal,2574,2773,2970,3165,3357,3544,3727,3905,4080,4250,4415,4577,4735,4888
Turkey,46763,51186,55471,59549,63363,66872,70052,72893,75402,77592,79486,81110,82492,83662
Israel,10439,10897,11342,11775,12196,12604,13002,13388,13763,14128,14482,14827,15161,15487
Estonia,1315,1438,1576,1729,1898,2083,2285,2504,2741,2994,3264,3551,3853,4170
Czech,5747,5918,6082,6240,6392,6538,6678,6813,6942,7066,7185,7300,7410,7516
Slovenia,1150,1175,1199,1221,1243,1264,1284,1304,1322,1340,1357,1373,1388,1403
Finland,2795,2991,3196,3407,3617,3870,4122,4385,4660,4946,5241,5547,5862,6185
Bahrain,908,930,952,973,995,1017,1038,1059,1081,1102,1123,1144,1166,1187
