aera,2020/3/31,2020/4/1,2020/4/2,2020/4/3,2020/4/4,2020/4/5,2020/4/6,2020/4/7,2020/4/8,2020/4/9,2020/4/10,2020/4/11,2020/4/12,2020/4/13,
Korea,9738,9814,9890,9966,10041,10115,10189,10263,10336,10408,10480,10552,10623,10693,
Japan,1975,2094,2222,2361,2511,2673,2847,3035,3237,3453,3684,3931,4192,4469,
Iran,40858,43084,45030,46733,48224,49529,50673,51674,52550,53316,53987,54572,55084,55531,
Itay,103481,108961,114076,118789,123083,126954,130414,133478,136174,138530,140576,142345,143868,145173,
America,165009,187617,209546,230221,249181,266130,280939,293626,304315,313200,320503,326452,331266,335140,
German,66990,71616,75904,79807,83300,86380,89057,91355,93307,94948,96316,97448,98378,99139,
Switzerland,16240,17476,18571,19547,20417,21191,21878,22484,23018,23486,23895,24252,24562,24832,
Sweden,4101,4532,4995,5492,6026,6596,7202,7844,8520,9228,9966,10729,11514,12315,
Spain,86872,93390,99571,105350,110683,115550,119947,123889,127399,130507,133248,135659,137774,139627,
U.K.,23205,26876,30749,34751,38791,42768,46588,50167,53440,56368,58931,61132,62990,64534,
Netherland,12364,13814,15277,16735,18164,19539,20838,22041,23137,24118,24983,25736,26382,26931,
Belgium,12342,13912,15505,17083,18609,20056,21401,22633,23746,24740,25620,26393,27068,27655,
Greece,1265,1364,1455,1532,1607,1683,1760,1842,1929,2022,2124,2235,2357,2490,
Norway,4632,4995,5370,5757,6154,6560,6973,7392,7815,8242,8670,9100,9529,9956,
Austria,9880,10571,11268,11806,12344,12747,13259,13810,14402,15035,15706,16409,17140,17892,
Austrialia,4661,5249,5838,6471,7103,7772,8488,9258,10085,10970,11910,12898,13927,14985,
Brazil,5073,5980,6993,8122,9371,10735,12209,13775,15413,17097,18797,20480,22115,23674,
Denmark,2748,2937,3132,3334,3542,3756,3978,4207,4442,4685,4934,5190,5452,5719,
Canada,7807,9359,11064,12934,14949,17072,19252,21435,23560,25574,27434,29110,30586,31861,
Luxembourg,2207,2375,2544,2680,2815,2916,3043,3180,3326,3483,3650,3825,4007,4194,
Russia,1920,2358,2836,3460,4167,4970,5865,6842,7884,8971,10078,11181,12256,13284,
Qatar,654,677,702,728,756,786,818,850,884,918,954,990,1027,1064,
France,46019,51407,56855,62299,67661,72858,77811,82456,86742,90639,94133,97225,99931,102275,
Ireland,2947,3300,3671,4060,4464,4882,5311,5749,6193,6641,7091,7539,7985,8425,
Portugal,654,677,702,728,756,786,818,850,884,918,954,990,1027,1064,
Turkey,12341,15971,19998,24216,28368,32211,35574,38374,40612,42346,43656,44628,45340,45856,
Israel,4868,5512,6169,6832,7492,8144,8783,9406,10010,10593,11154,11692,12209,12702,
Estonia,756,846,948,1063,1193,1339,1501,1680,1879,2097,2336,2597,2880,3186,
Czech,3280,3799,4378,5020,5725,6493,7319,8199,9124,10083,11066,12058,13045,14016,
Slovenia,788,849,915,984,1057,1133,1214,1298,1385,1476,1570,1668,1769,1873,
Finland,1456,1633,1847,2068,2289,2583,2882,3209,3563,3945,4356,4794,5258,5747,
Bahrain,520,541,562,584,606,628,651,673,696,719,742,765,789,813,
