aera,2020/3/18,2020/3/19,2020/3/20,2020/3/21,2020/3/22,2020/3/23,2020/3/24,2020/3/25,2020/3/26,2020/3/27,2020/3/28,2020/3/29,2020/3/30,2020/3/31
Korea,8374,8422,8463,8498,8530,8556,8580,8600,8618,8633,8646,8658,8668,8677
Japan,907,985,1069,1159,1257,1361,1474,1595,1725,1866,2017,2179,2353,2539
Iran,16278,17530,18744,19920,21056,22152,23208,24225,25203,26144,27047,27914,28746,29545
Italy,31263,34437,37426,40182,42678,44908,46881,48612,50123,51437,52575,53560,54411,55146
America,6413,8880,11963,15434,19001,22435,25677,28699,31468,33958,36155,38060,39688,41061
German,9263,11653,14452,17638,21146,24872,28681,32430,35983,39236,42124,44620,46729,48480
Switzerland,2989,3990,5251,6785,8573,10561,12659,14757,16747,18547,20109,21417,22484,23336
Sweden,1355,1465,1557,1661,1785,1936,2119,2339,2605,2924,3305,3757,4290,4913
Spain,12275,15487,18908,22353,25627,28574,31103,33188,34854,36153,37148,37899,38461,38878
U.K.,1935,2409,2974,3641,4415,5300,6297,7399,8599,9883,11234,12634,14066,15511
Netherland,1684,1946,2216,2510,2843,3228,3680,4211,4833,5558,6392,7339,8395,9552
Belgium,1351,1614,1898,2227,2622,3105,3693,4403,5244,6217,7311,8502,9758,11039
Greece,451,563,693,849,1040,1276,1567,1923,2355,2870,3472,4161,4930,5768
Singapore,257,274,292,311,330,350,370,391,412,433,454,476,498,520
Philippines,177,191,207,227,254,289,334,392,467,562,682,832,1019,1248
