aera,2020/4/10,2020/4/11,2020/4/12,2020/4/13,2020/4/14,2020/4/15,2020/4/16,2020/4/17,2020/4/18,2020/4/19,2020/4/20,2020/4/21,2020/4/22,2020/4/23
Japan,5676,6442,7253,8093,8948,9805,10655,11487,12298,13080,13833,14552,15239,15894
Iran,66035,67370,68598,69729,70770,71728,72610,73421,74168,74856,75489,76072,76608,77102
Itay,142699,145402,148105,150549,152681,154591,156300,157825,159185,160397,161474,162432,163282,164037
America,450034,468095,483400,496196,506776,515442,522485,528172,532739,536392,539303,541615,543447,544896
German,115761,117949,119884,121592,123097,124422,125588,126615,127519,128316,129019,129641,130191,130679
Switzerland,24033,24638,25147,25591,25990,26352,26684,26991,27275,27539,27783,28011,28222,28419
Sweden,9047,9699,10370,11055,11749,12450,13151,13848,14539,15219,15885,16534,17165,17775
Spain,151909,155209,158150,160766,163089,165148,166972,168587,170017,171284,172408,173404,174290,175077
U.K.,64978,68139,70998,73590,75947,78093,80050,81836,83468,84958,86319,87561,88693,89726
Netherland,21597,22369,23024,23583,24058,24460,24799,25085,25323,25523,25689,25826,25941,26036
Belgium,24275,25096,25870,26598,27284,27930,28539,29112,29652,30160,30639,31090,31515,31915
Greece,2069,2208,2309,2361,2411,2459,2508,2559,2612,2669,2730,2794,2863,2936
Norway,6346,6579,6790,6982,7161,7328,7486,7638,7786,7931,8074,8217,8362,8507
Austria,13217,13388,13592,13786,13980,14115,14254,14380,14495,14600,14695,14782,14860,14932
Austrialia,6167,6304,6442,6587,6721,6851,6977,7100,7219,7335,7447,7556,7662,7765
Brazil,17595,19029,20419,21739,22980,24140,25220,26225,27158,28026,28832,29581,30276,30922
Denmark,5861,6129,6398,6670,6943,7217,7492,7769,8046,8323,8600,8877,9153,9429
Canada,21093,22900,24689,26439,28131,29748,31276,32706,34033,35252,36364,37372,38279,39091
Luxembourg,3210,3303,3409,3495,3582,3613,3660,3705,3748,3792,3835,3880,3926,3973
Russia,9568,10451,11323,12138,12914,13645,14331,14973,15574,16134,16657,17145,17601,18025
Qatar,2401,2596,2791,2984,3174,3360,3542,3720,3894,4064,4230,4392,4549,4704
France,118696,123090,127126,130804,134132,137129,139816,142217,144358,146261,147952,149451,150779,151954
Ireland,6579,7109,7660,8229,8811,9404,10003,10604,11203,11797,12382,12955,13514,14056
Portugal,2401,2596,2791,2984,3174,3360,3542,3720,3894,4064,4230,4392,4549,4704
Turkey,42698,47187,51610,55887,59947,63734,67209,70350,73151,75619,77770,79628,81220,82575
Israel,9875,10329,10767,11190,11597,11989,12368,12733,13084,13423,13750,14065,14368,14661
Estonia,1263,1345,1430,1519,1611,1706,1805,1907,2013,2123,2236,2352,2472,2595
Czech,5496,5674,5844,6008,6166,6318,6463,6603,6737,6867,6991,7110,7225,7335
Slovenia,1130,1170,1210,1251,1291,1331,1372,1413,1453,1494,1535,1576,1617,1658
Finland,2655,2851,3046,3246,3446,3688,3930,4183,4448,4724,5011,5308,5614,5930
Bahrain,853,884,915,947,979,1012,1045,1079,1113,1147,1182,1217,1252,1288
